"","Sleep_Time_All","Sleep_Time_L","Sleep_Time_D","n_Bouts_L","n_Bouts_D","mean_Bout_Length_L","mean_Bout_Length_D"
"SIP-L1-4_5D",0.0292085023820092,0.0244266228438388,0.302820962177848,0.0408338011222033,0.438780116736804,0.00743303440343452,0.449236520444865
"SIP-L1-1_5D",0.00166760266990358,0.038149907561343,0.00052985295312371,0.0713654284031906,0.0962025062975522,0.0747486130677044,0.129611668071294
"SIP-L1-3_5D",0.00241539072261033,0.00301642087405898,0.105186336983943,0.0109925819476282,0.305949997455962,0.204557281590533,0.381493470205449
"SIP-S1-3_2D",0.737536727538874,0.564385715982881,0.930815866266001,0.217344954518756,0.945614910074631,0.0429491346965117,0.637487794907318
"SIP-S1-5_2D",0.257543550347413,0.15832341523701,0.785989821667783,0.0163787701486096,0.812281438007508,0.013670423786714,0.76560664649946
"SIP-S1-1_2D",0.0229766285120126,0.130339357028025,0.0224936403784225,0.866283560412321,0.196170905678033,0.298504692876951,0.639052290518268
"SIP-S1-2_2D",0.0780272524815742,0.00963680942023595,0.775218809922499,0.156996178975329,0.26265663486356,0.196093755177035,0.122140337933134
"SIP-S1-4_2D",0.931015330629243,0.670752465658188,0.666140856465399,0.738998077137294,0.271044597091525,0.53391692738089,0.386723080578658
"SIP-S1-5_5D",0.0315546588243848,0.727913424662791,0.0222935182691399,0.250764207533996,0.599550525039084,0.635265685346515,0.140132040573992
"SIP-S1-3_5D",0.0956830353632466,0.0974361560732619,0.323492750744931,0.0402591649111678,0.00429803127616904,0.0707405379473997,0.174552435104894
"SIP-S1-1_5D",0.00290390863469682,0.096860247316309,0.000562436873607726,0.773127095039276,0.761460689597722,0.439796981656153,0.640216925470776
"SIP-S1-4_5D",0.00375857915448118,0.00675142724438975,0.199377450978668,0.773518570164226,0.508056837269986,0.738938859827338,0.359140960568865
"SIP-S1-2_5D",0.000816434638512238,0.0528371314711204,0.000686110186040796,0.750300093572024,1,0.721587368324789,0.426898954965537
"SIP-L2-6_2D",0.000472732361023066,0.00450831589524933,0.000373662341680219,0.1446365538104,3.06611204497684e-05,0.101541019855337,0.048013135271476
"SIP-L2-7_2D",0.0698330528612515,0.26233664471,0.0361464254538365,0.366195813259905,0.32779796776449,0.743759537922547,0.700685035020633
"SIP-L2-10_2D",0.535587154991982,0.601093142106096,0.0706953583447717,0.547175470965566,0.00778393916809048,0.93984203987001,0.0777069899444421
"SIP-L2-8_2D",0.0902020697432451,0.102680068315996,0.37414783773868,0.0188507424928966,0.390759234040207,0.059261729163486,0.316618756001865
"SIP-L2-7_5D",0.999883394359006,0.865384163577148,0.815641031621992,0.677634684246326,0.25002295166906,0.6078319201032,0.659046452867524
"SIP-L2-8_5D",0.0137045409830122,0.00646491610735567,0.723976905771716,0.260780609040603,0.198735183917711,0.605606532670153,0.0638671607147059
"SIP-L2-6_5D",0.175138663440531,0.749904879182881,0.0112510165067739,0.354582023570014,0.00719733397240082,0.739793370671837,0.0059812362473443
"SIP-L2-10_5D",0.00145375889519549,0.00067695286358312,0.130839208102944,0.0158879448623958,0.111474121980007,0.0161584655406485,0.03817215974537
"SIP-S2-7_2D",0.853190868993587,0.968167542359718,0.768236224733556,0.00185500769464619,0.685885204726985,0.00572399037230301,0.29164670349735
"SIP-S2-9_2D",0.224307192467259,0.755445709233316,0.0910873447102599,0.491856256972506,0.07153094827915,0.952836414395111,0.456709550713507
"SIP-S2-9_5D",0.457179398758053,0.467596249370704,0.526392066750007,0.447547060545679,0.140153844059733,0.911775967990385,0.616897712862126
"SIP-S2-7_5D",0.171278278999615,0.315745155587148,0.129351567086668,0.659121236186053,0.0112519141569265,0.564981926169518,0.0308363970395941
"SIP-L1-6_2D",0.815372801553645,0.340648881079959,0.0271656845997043,0.00492846049641802,0.123532743220103,0.00433424337728834,0.0630756638889239
"SIP-L1-10_2D",0.103493105203088,0.0724520446076678,0.438572108077578,0.727135956462662,0.757094805600463,0.806880266752153,0.835542392678147
"SIP-L1-7_2D",4.98875920239972e-07,2.23278605115782e-07,0.0141428951958092,0.39731359986508,0.116753154832543,0.785767625509382,0.565657296111462
"SIP-L1-9_2D",0.000857439216704105,0.00102287005086982,0.150430985127617,0.207916514993132,0.239712111936812,0.304569731626523,0.391450980699988
"SIP-L1-8_2D",0.296681847483391,0.384427403602555,0.428919295588347,0.779292719340814,0.197060840353122,0.733260982011931,0.36400832106316
"SIP-L1-8_5D",0.232499017227604,0.00412633209816818,0.00617130543277178,0.219090816283563,0.0127695430983051,0.178129133755696,0.0330503956225776
"SIP-L1-6_5D",0.00181352299968607,0.00102731671974326,0.187952646108586,0.111355905386338,0.288279703676221,0.0691910644668566,0.533682577847875
"SIP-L1-9_5D",0.0139402002100652,0.00798679017068905,0.193973959062128,0.254479543927471,0.37126319339852,0.0666544063732034,0.282743793175365
"SIP-L1-10_5D",0.000523342172576997,0.000628652704556577,0.0357273971640844,0.0357839734653014,0.174199760581231,0.0331545473743822,0.152934802174435
"SIP-L1-7_5D",0.0655299057418389,0.286131882944961,0.0241082215946344,0.0232265277696785,0.399195413411426,0.0181509785289209,0.0450476276794918
"SIP-S2-6_2D",0.093804445966351,0.137475926676101,0.122544999632185,0.337231307140778,0.977608691817777,0.331688797653595,0.727721246126447
"SIP-S1-9_2D",0.135940628601013,0.000593543493774016,0.233350779054181,0.0673624567776797,0.275031871462114,0.0215818414880997,0.409456320367278
"SIP-S1-7_2D",0.0135907663198432,0.0696720867579298,0.0156139695690572,0.132789417802632,0.502993796969414,0.0417188601889693,0.942100571455283
