id,region_id,experiment_id,start_datetime,stop_datetime,status,Sex,Genotype,Temperature,Treatment,Environment,Light,monitor,Batch,Sleep_Fraction_All,Sleep_Time_All,Sleep_Fraction_L,Sleep_Time_L,Sleep_Fraction_D,Sleep_Time_D,Day1_latency,Day1_first_bout_length,Day1_latency_to_longest_bout,Day1_Sleep_Fraction_All,Day1_Sleep_Time_All,Day1_Sleep_Fraction_L,Day1_Sleep_Time_L,Day1_Sleep_Fraction_D,Day1_Sleep_Time_D,Day2_latency,Day2_first_bout_length,Day2_latency_to_longest_bout,Day2_Sleep_Fraction_All,Day2_Sleep_Time_All,Day2_Sleep_Fraction_L,Day2_Sleep_Time_L,Day2_Sleep_Fraction_D,Day2_Sleep_Time_D,n_Bouts_L,mean_Bout_Length_L,n_Bouts_D,mean_Bout_Length_D
2019-06-22 10:01:00|Monitor13.txt|12,12,2019-06-22 10:01:00|Monitor13.txt,2019-06-22T10:01:00Z,2019-06-24T10:20:00Z,OK,M,SIP-L2-5,21.5C,Iso,2D,12:12,M13,Batch1_2Days,0.897257896563693,1292.05137105172,0.82234559333796,592.088827203331,0.972222222222222,700,0,420,13980,0.888965995836225,1280.11103400416,0.803051317614424,578.196948682386,0.975,702,600,360,12480,0.904927133934768,1303.09507286607,0.840499306518724,605.159500693481,0.969444444444444,698,25,28.4,6,117.666666666667
2019-06-22 10:01:00|Monitor13.txt|15,15,2019-06-22 10:01:00|Monitor13.txt,2019-06-22T10:01:00Z,2019-06-24T10:20:00Z,OK,M,SIP-L2-5,21.5C,Iso,2D,12:12,M13,Batch1_2Days,0.698715723707046,1006.15064213815,0.511450381679389,368.24427480916,0.886111111111111,638,7320,420,10860,0.697432338653713,1004.30256766135,0.471567267683773,339.528432732316,0.923611111111111,665,6420,300,12360,0.700208188757807,1008.29979181124,0.552011095700416,397.4479889043,0.848611111111111,611,17.5,41.6571428571429,21.5,31.6511627906977
2019-06-22 10:01:00|Monitor13.txt|16,16,2019-06-22 10:01:00|Monitor13.txt,2019-06-22T10:01:00Z,2019-06-24T10:20:00Z,OK,M,SIP-L2-5,21.5C,Iso,2D,12:12,M13,Batch1_2Days,0.719541825754946,1036.14022908712,0.667591950034698,480.666204024983,0.771527777777778,555.5,3720,660,15240,0.692574600971548,997.307425399029,0.599167822468793,431.400832177531,0.786111111111111,566,2100,300,9360,0.746703678001388,1075.253296322,0.736477115117892,530.263522884882,0.756944444444445,545,34,21.5588235294118,35,19.0714285714286
2019-06-22 10:01:00|Monitor13.txt|17,17,2019-06-22 10:01:00|Monitor13.txt,2019-06-22T10:01:00Z,2019-06-24T10:20:00Z,OK,M,SIP-L2-5,21.5C,Iso,2D,12:12,M13,Batch1_2Days,0.612287400208261,881.693856299896,0.517002081887578,372.241498959056,0.707638888888889,509.5,4320,360,23280,0.6294240111034,906.370575988897,0.521497919556172,375.478502080444,0.7375,531,4620,540,20100,0.595419847328244,857.404580152672,0.513176144244105,369.486823855756,0.677777777777778,488,27.5,25.8181818181818,39,18.0769230769231
2019-06-22 10:01:00|Monitor13.txt|18,18,2019-06-22 10:01:00|Monitor13.txt,2019-06-22T10:01:00Z,2019-06-24T10:20:00Z,OK,M,SIP-L2-5,21.5C,Iso,2D,12:12,M13,Batch1_2Days,0.648385977091288,933.675807011454,0.501734906315059,361.249132546843,0.795138888888889,572.5,4320,360,29400,0.659264399722415,949.340735600278,0.48127600554785,346.518723994452,0.8375,603,1560,300,20400,0.63705759888966,917.36294240111,0.521497919556172,375.478502080444,0.752777777777778,542,29,24.4310344827586,31.5,22.1904761904762
2019-06-22 10:01:00|Monitor13.txt|19,19,2019-06-22 10:01:00|Monitor13.txt,2019-06-22T10:01:00Z,2019-06-24T10:20:00Z,OK,M,SIP-L2-5,21.5C,Iso,2D,12:12,M13,Batch1_2Days,0.838944810829573,1208.08052759459,0.76058292852186,547.619708535739,0.917361111111111,660.5,0,300,3540,0.827203331020125,1191.17279666898,0.791955617198336,570.208044382802,0.8625,621,1740,1260,12420,0.850104094378904,1224.14989590562,0.728155339805825,524.271844660194,0.972222222222222,700,46,14.5108695652174,20.5,34.9756097560976
2019-06-22 10:01:00|Monitor13.txt|20,20,2019-06-22 10:01:00|Monitor13.txt,2019-06-22T10:01:00Z,2019-06-24T10:20:00Z,OK,M,SIP-L2-5,21.5C,Iso,2D,12:12,M13,Batch1_2Days,0.67719541825755,975.161402290871,0.485773768216516,349.757113115892,0.86875,625.5,6840,480,18060,0.645385149201943,929.354614850798,0.449375866851595,323.550624133148,0.841666666666667,606,3000,1080,24900,0.709229701596114,1021.2907702984,0.522884882108183,376.477115117892,0.895833333333333,645,24.5,29.8571428571429,27.5,25.1090909090909
2019-06-22 10:01:00|Monitor13.txt|21,21,2019-06-22 10:01:00|Monitor13.txt,2019-06-22T10:01:00Z,2019-06-24T10:20:00Z,OK,M,SIP-L2-5,21.5C,Iso,2D,12:12,M13,Batch1_2Days,0.876778896216591,1262.56161055189,0.868147120055517,625.065926439972,0.885416666666667,637.5,300,420,6420,0.858431644691187,1236.14156835531,0.866851595006935,624.133148404993,0.85,612,1440,1560,26220,0.895211658570437,1289.10478834143,0.869625520110957,626.130374479889,0.920833333333333,663,26.5,26.8301886792453,25,27.86
2019-06-22 10:01:00|Monitor13.txt|23,23,2019-06-22 10:01:00|Monitor13.txt,2019-06-22T10:01:00Z,2019-06-24T10:20:00Z,OK,M,SIP-L2-5,21.5C,Iso,2D,12:12,M13,Batch1_2Days,0.900728913571676,1297.04963554321,0.836918806384455,602.581540596808,0.964583333333333,694.5,0,300,29580,0.92088827203331,1326.07911172797,0.877947295423024,632.122052704577,0.963888888888889,694,480,1260,34860,0.880638445523942,1268.11936155448,0.796116504854369,573.203883495146,0.965277777777778,695,31,22.4838709677419,10.5,67.6190476190476
2019-06-22 10:01:00|Monitor13.txt|24,24,2019-06-22 10:01:00|Monitor13.txt,2019-06-22T10:01:00Z,2019-06-24T10:20:00Z,OK,M,SIP-L2-5,21.5C,Iso,2D,12:12,M13,Batch1_2Days,0.862894828184658,1242.56855258591,0.818875780707842,589.590562109646,0.906944444444444,653,0,300,18300,0.882720333102012,1271.1172796669,0.869625520110957,626.130374479889,0.895833333333333,645,3720,300,23160,0.843164469118668,1214.15683553088,0.768377253814147,553.231622746186,0.918055555555556,661,25,28.92,16,43.15625
2019-06-22 10:01:00|Monitor13.txt|25,25,2019-06-22 10:01:00|Monitor13.txt,2019-06-22T10:01:00Z,2019-06-24T10:20:00Z,OK,M,SIP-L2-5,21.5C,Iso,2D,12:12,M13,Batch1_2Days,0.789309267615411,1136.60534536619,0.739764052741152,532.63011797363,0.838888888888889,604,4860,780,8340,0.77793199167245,1120.22206800833,0.732316227461859,527.267683772538,0.823611111111111,593,1980,1380,8940,0.800832755031228,1153.19916724497,0.747572815533981,538.252427184466,0.854166666666667,615,24,29.9166666666667,30.5,22.655737704918
2019-06-22 10:01:00|Monitor13.txt|26,26,2019-06-22 10:01:00|Monitor13.txt,2019-06-22T10:01:00Z,2019-06-24T10:20:00Z,OK,M,SIP-L2-5,21.5C,Iso,2D,12:12,M13,Batch1_2Days,0.834085387018396,1201.08295730649,0.726578764746704,523.136710617627,0.941666666666667,678,2100,480,24420,0.823039555863984,1185.17696044414,0.72122052704577,519.278779472954,0.925,666,480,1380,22020,0.844552394170715,1216.15544760583,0.730929264909848,526.26907073509,0.958333333333333,690,35.5,19.8169014084507,14.5,48.7241379310345
2019-06-22 10:01:00|Monitor13.txt|27,27,2019-06-22 10:01:00|Monitor13.txt,2019-06-22T10:01:00Z,2019-06-24T10:20:00Z,OK,M,SIP-L2-5,21.5C,Iso,2D,12:12,M13,Batch1_2Days,0.857688302672683,1235.07115584866,0.776544066620403,559.11172796669,0.938888888888889,676,2640,300,9360,0.873004857737682,1257.12699514226,0.800277392510402,576.19972260749,0.945833333333333,681,2220,1080,21960,0.842470506592644,1213.15752949341,0.753120665742025,542.246879334258,0.931944444444444,671,25.5,27.8823529411765,12,58.4166666666667
