"id","region_id","experiment_id","start_datetime","stop_datetime","monitor","status","Sex","Genotype","Temperature","Treatment","Environment","Light","Batch","Sleep_Fraction_All","Sleep_Time_All","Sleep_Fraction_L","Sleep_Time_L","Sleep_Fraction_D","Sleep_Time_D","Day1_latency","Day1_first_bout_length","Day1_latency_to_longest_bout","Day1_Sleep_Fraction_All","Day1_Sleep_Time_All","Day1_Sleep_Fraction_L","Day1_Sleep_Time_L","Day1_Sleep_Fraction_D","Day1_Sleep_Time_D","Day2_latency","Day2_first_bout_length","Day2_latency_to_longest_bout","Day2_Sleep_Fraction_All","Day2_Sleep_Time_All","Day2_Sleep_Fraction_L","Day2_Sleep_Time_L","Day2_Sleep_Fraction_D","Day2_Sleep_Time_D","n_Bouts_L","mean_Bout_Length_L","n_Bouts_D","mean_Bout_Length_D"
"2019-08-20 10:01:00|Monitor14.txt|11",11,"2019-08-20 10:01:00|Monitor14.txt",2019-08-20T10:01:00Z,2019-08-23T10:20:00Z,"M14","OK","M","SIP-S2-8","21.5C","Grp","5D","12:12","Batch9_5Days",0.307185005206526,442.346407497397,0.376821651630812,271.311589174185,0.2375,171,0,300,24900,0.385843164469119,555.614156835531,0.388349514563107,279.611650485437,0.383333333333333,276,4980,300,12420,0.228313671061763,328.771686328938,0.364771151178918,262.635228848821,0.0916666666666667,66,37.5,19.92,31,21.4838709677419
"2019-08-20 10:01:00|Monitor14.txt|12",12,"2019-08-20 10:01:00|Monitor14.txt",2019-08-20T10:01:00Z,2019-08-23T10:20:00Z,"M14","OK","M","SIP-S2-8","21.5C","Grp","5D","12:12","Batch9_5Days",0.260673377299549,375.36966331135,0.487855655794587,351.256072172103,0.0333333333333333,24,4260,540,8820,0.248438584316447,357.751561415684,0.443828016643551,319.556171983357,0.0527777777777778,38,2940,360,14640,0.272727272727273,392.727272727273,0.53120665742025,382.46879334258,0.0138888888888889,10,22.5,54.7555555555556,7,29.5714285714286
"2019-08-20 10:01:00|Monitor14.txt|14",14,"2019-08-20 10:01:00|Monitor14.txt",2019-08-20T10:01:00Z,2019-08-23T10:20:00Z,"M14","OK","M","SIP-S2-8","21.5C","Grp","5D","12:12","Batch9_5Days",0.655328011107255,943.672335994446,0.714087439278279,514.142956280361,0.596527777777778,429.5,0,360,3900,0.655794587092297,944.344205412908,0.69625520110957,501.30374479889,0.615277777777778,443,1620,1800,20220,0.655100624566273,943.344899375434,0.732316227461859,527.267683772538,0.577777777777778,416,32.5,25.6153846153846,20.5,27.9756097560976
"2019-08-20 10:01:00|Monitor14.txt|15",15,"2019-08-20 10:01:00|Monitor14.txt",2019-08-20T10:01:00Z,2019-08-23T10:20:00Z,"M14","OK","M","SIP-S2-8","21.5C","Grp","5D","12:12","Batch9_5Days",0.542867060048594,781.728566469976,0.634975711311589,457.182512144344,0.450694444444445,324.5,2340,600,15540,0.551006245662734,793.448993754337,0.646324549237171,465.353675450763,0.455555555555556,328,2760,420,27900,0.535045107564192,770.464954892436,0.624133148404993,449.375866851595,0.445833333333333,321,35,24.1857142857143,39,14.7435897435897
"2019-08-20 10:01:00|Monitor14.txt|16",16,"2019-08-20 10:01:00|Monitor14.txt",2019-08-20T10:01:00Z,2019-08-23T10:20:00Z,"M14","OK","M","SIP-S2-8","21.5C","Grp","5D","12:12","Batch9_5Days",0.290177021867407,417.854911489066,0.358778625954198,258.320610687023,0.221527777777778,159.5,3420,600,10020,0.275503122831367,396.724496877169,0.298196948682386,214.701803051318,0.252777777777778,182,4620,1020,18840,0.304649548924358,438.695350451076,0.418862690707351,301.581137309293,0.190277777777778,137,34,28.1176470588235,26.5,17.6415094339623
"2019-08-20 10:01:00|Monitor14.txt|17",17,"2019-08-20 10:01:00|Monitor14.txt",2019-08-20T10:01:00Z,2019-08-23T10:20:00Z,"M14","OK","M","SIP-S2-8","21.5C","Grp","5D","12:12","Batch9_5Days",0.482471364109684,694.758764317945,0.498265093684941,358.750867453158,0.466666666666667,336,4740,480,9840,0.437196391394865,629.562803608605,0.466019417475728,335.533980582524,0.408333333333333,294,480,300,11580,0.528105482303956,760.471894517696,0.53120665742025,382.46879334258,0.525,378,39,20.9102564102564,32,18.765625
"2019-08-20 10:01:00|Monitor14.txt|18",18,"2019-08-20 10:01:00|Monitor14.txt",2019-08-20T10:01:00Z,2019-08-23T10:20:00Z,"M14","OK","M","SIP-S2-8","21.5C","Grp","5D","12:12","Batch9_5Days",0.322110378340854,463.83894481083,0.371963913948647,267.814018043026,0.272222222222222,196,9900,720,18840,0.282442748091603,406.717557251908,0.34119278779473,245.658807212205,0.223611111111111,161,4800,300,24540,0.361554476058293,520.638445523942,0.402219140083218,289.597780859917,0.320833333333333,231,34.5,23.7391304347826,32,18.84375
"2019-08-20 10:01:00|Monitor14.txt|19",19,"2019-08-20 10:01:00|Monitor14.txt",2019-08-20T10:01:00Z,2019-08-23T10:20:00Z,"M14","OK","M","SIP-S2-8","21.5C","Grp","5D","12:12","Batch9_5Days",0.513363415480736,739.24331829226,0.564885496183206,406.717557251908,0.461805555555556,332.5,3540,960,10140,0.566967383761277,816.433032616239,0.572815533980583,412.427184466019,0.561111111111111,404,2520,420,12120,0.45940319222762,661.540596807773,0.556171983356449,400.443828016644,0.3625,261,49,15.7142857142857,41,15.3414634146341
"2019-08-20 10:01:00|Monitor14.txt|20",20,"2019-08-20 10:01:00|Monitor14.txt",2019-08-20T10:01:00Z,2019-08-23T10:20:00Z,"M14","OK","M","SIP-S2-8","21.5C","Grp","5D","12:12","Batch9_5Days",0.314821242624089,453.342589378688,0.349063150589868,251.325468424705,0.280555555555556,202,10920,420,17640,0.292852185981957,421.707147814018,0.299583911234397,215.700416088766,0.286111111111111,206,7140,480,23400,0.336571825121443,484.663428174879,0.398058252427184,286.601941747573,0.275,198,27.5,30.5818181818182,22.5,26.0666666666667
"2019-08-20 10:01:00|Monitor14.txt|21",21,"2019-08-20 10:01:00|Monitor14.txt",2019-08-20T10:01:00Z,2019-08-23T10:20:00Z,"M14","OK","M","SIP-S2-8","21.5C","Grp","5D","12:12","Batch9_5Days",0.207913918778202,299.396043040611,0.342123525329632,246.328938237335,0.0736111111111111,53,300,360,10740,0.196391394864677,282.803608605135,0.299583911234397,215.700416088766,0.0930555555555556,67,120,480,15240,0.219292158223456,315.780707841777,0.384188626907074,276.615811373093,0.0541666666666667,39,38.5,26.0779220779221,11,38.5909090909091
