"id","region_id","experiment_id","start_datetime","stop_datetime","monitor","status","Sex","Genotype","Temperature","Treatment","Environment","Light"
"2019-08-20 10:01:00|Monitor14.txt|24",24,"2019-08-20 10:01:00|Monitor14.txt",2019-08-20T10:01:00Z,2019-08-23T10:20:00Z,"M14","OK","M","SIP-S2-8","21.5C","Grp","5D","""12:12"""
"2019-08-20 10:01:00|Monitor14.txt|25",25,"2019-08-20 10:01:00|Monitor14.txt",2019-08-20T10:01:00Z,2019-08-23T10:20:00Z,"M14","OK","M","SIP-S2-8","21.5C","Grp","5D","""12:12"""
"2019-08-20 10:01:00|Monitor14.txt|26",26,"2019-08-20 10:01:00|Monitor14.txt",2019-08-20T10:01:00Z,2019-08-23T10:20:00Z,"M14","OK","M","SIP-S2-8","21.5C","Grp","5D","""12:12"""
"2019-08-20 10:01:00|Monitor14.txt|27",27,"2019-08-20 10:01:00|Monitor14.txt",2019-08-20T10:01:00Z,2019-08-23T10:20:00Z,"M14","OK","M","SIP-S2-8","21.5C","Grp","5D","""12:12"""
"2019-08-20 10:01:00|Monitor14.txt|28",28,"2019-08-20 10:01:00|Monitor14.txt",2019-08-20T10:01:00Z,2019-08-23T10:20:00Z,"M14","OK","M","SIP-S2-8","21.5C","Grp","5D","""12:12"""
"2019-08-20 10:01:00|Monitor14.txt|29",29,"2019-08-20 10:01:00|Monitor14.txt",2019-08-20T10:01:00Z,2019-08-23T10:20:00Z,"M14","OK","M","SIP-S2-8","21.5C","Grp","5D","""12:12"""
"2019-08-20 10:01:00|Monitor14.txt|30",30,"2019-08-20 10:01:00|Monitor14.txt",2019-08-20T10:01:00Z,2019-08-23T10:20:00Z,"M14","OK","M","SIP-S2-8","21.5C","Grp","5D","""12:12"""
"2019-08-20 10:01:00|Monitor14.txt|31",31,"2019-08-20 10:01:00|Monitor14.txt",2019-08-20T10:01:00Z,2019-08-23T10:20:00Z,"M14","OK","M","SIP-S2-8","21.5C","Grp","5D","""12:12"""
"2019-08-20 10:01:00|Monitor14.txt|32",32,"2019-08-20 10:01:00|Monitor14.txt",2019-08-20T10:01:00Z,2019-08-23T10:20:00Z,"M14","OK","M","SIP-S2-8","21.5C","Grp","5D","""12:12"""
"2019-08-20 10:01:00|Monitor15.txt|01",1,"2019-08-20 10:01:00|Monitor15.txt",2019-08-20T10:01:00Z,2019-08-23T10:20:00Z,"M15","OK","M","SIP-S2-8","21.5C","Iso","5D","""12:12"""
"2019-08-20 10:01:00|Monitor15.txt|02",2,"2019-08-20 10:01:00|Monitor15.txt",2019-08-20T10:01:00Z,2019-08-23T10:20:00Z,"M15","OK","M","SIP-S2-8","21.5C","Iso","5D","""12:12"""
"2019-08-20 10:01:00|Monitor15.txt|03",3,"2019-08-20 10:01:00|Monitor15.txt",2019-08-20T10:01:00Z,2019-08-23T10:20:00Z,"M15","OK","M","SIP-S2-8","21.5C","Iso","5D","""12:12"""
