Sex,Genotype,Temperature,Treatment,Environment,Light,Batch,N,Sleep_Time_All_mean,Sleep_Time_All_sd,Sleep_Time_All_se,Sleep_Time_All_ci,Sleep_Time_L_mean,Sleep_Time_L_sd,Sleep_Time_L_se,Sleep_Time_L_ci,Sleep_Time_D_mean,Sleep_Time_D_sd,Sleep_Time_D_se,Sleep_Time_D_ci,n_Bouts_L_mean,n_Bouts_L_sd,n_Bouts_L_se,n_Bouts_L_ci,mean_Bout_Length_L_mean,mean_Bout_Length_L_sd,mean_Bout_Length_L_se,mean_Bout_Length_L_ci,n_Bouts_D_mean,n_Bouts_D_sd,n_Bouts_D_se,n_Bouts_D_ci,mean_Bout_Length_D_mean,mean_Bout_Length_D_sd,mean_Bout_Length_D_se,mean_Bout_Length_D_ci
M,CS,21.5C,Grp,5D,12:12,Batch9_5Days,30,958.500520652551,112.933421267878,20.6187274415501,42.1700325465132,426.920194309507,63.3064152870278,11.558117229165,23.639003964333,531.616666666667,69.3798494214792,12.6669695214853,25.9068615413332,43.8333333333333,4.77842372894382,0.872416821886827,1.78429274441814,17.1554764085971,2.27149630551106,0.414716588606018,0.848190660101182,27.5,9.52944619731841,1.73983088093437,3.55835368998483,30.5947036168526,25.4787947777028,4.65177021259755,9.51393832719446
M,CS,21.5C,Iso,5D,12:12,Batch9_5Days,31,849.656593252791,136.055498795641,24.4362889535946,49.9055598641444,305.465290680755,111.762790233992,20.0731896953312,40.9949224248847,544.274193548387,49.2440924899758,8.84450010469654,18.0628789535752,41.1129032258065,6.89529994201286,1.23843242865042,2.52921643802301,18.4946950780223,3.67643308831666,0.660306875208342,1.34852654394434,24.1290322580645,6.79333955912638,1.22011980328733,2.4918170676414,30.7155918535503,12.0931650321125,2.1719965580522,4.43580874569111
M,SIP-L1-2,21.5C,Grp,5D,12:12,Batch9_5Days,32,1069.09753557792,96.9539416870379,17.1391974074174,34.9556235728703,468.2373351839,59.2499281789265,10.4740065000337,21.3618770944621,600.90625,54.8629432342322,9.69848979919454,19.7802003551957,36.5,8.73443315737462,1.54404422885006,3.14909896657046,20.7776249933441,5.49477551466292,0.971348256878987,1.98107783103841,26.671875,9.99000256304659,1.76599963910031,3.60178001027628,30.6901893240048,16.01344480084,2.83080385220761,5.77346252068818
M,SIP-L1-2,21.5C,Iso,5D,12:12,Batch9_5Days,31,980.707863533048,108.905011348932,19.5599174555544,39.9466806670045,390.19677195496,89.6752070809211,16.1061426520824,32.8931315156065,590.58064516129,46.7628942599781,8.39886374720951,17.152768095153,32.7096774193548,6.89537791271369,1.23844643260169,2.52924503790697,23.2912431207437,6.08395969732848,1.09271141895741,2.23161443362256,27.2903225806452,7.00211181662169,1.25761640764959,2.56839534993526,27.3066213451306,9.47218661754375,1.70125493829792,3.47442610163231
M,SIP-L2-1,21.5C,Grp,5D,12:12,Batch9_5Days,32,1132.55987504339,126.672257826523,22.3927031243363,45.6702191232468,496.92054129077,93.0298661870922,16.4455123084425,33.5408434859461,635.6875,48.1308280928474,8.50840873214409,17.3530140166445,35.125,8.90088795860351,1.57346955852756,3.20911232211237,21.5919924566444,6.33133886442728,1.11923316125662,2.28269108203563,17.578125,7.57554360340542,1.33917956328559,2.73127472646022,54.3286543486621,40.7157452704252,7.19759489544543,14.6795915709751
M,SIP-L2-1,21.5C,Iso,5D,12:12,Batch9_5Days,32,1067.36376258244,149.660284664918,26.4564505402182,53.9582866206965,483.289382373352,109.891350431059,19.4262297708872,39.6200568305108,584.109375,70.2892336057742,12.4254984317621,25.3419711297562,37.328125,10.7370397306436,1.89805840085187,3.87111563058305,21.1906326074843,6.82596164038364,1.20667094100863,2.46102160956291,23.96875,10.0714684036863,1.78040090118816,3.63115157794954,35.2341167751186,21.4202522072882,3.7866013976249,7.72282446659941
M,SIP-L2-2,21.5C,Grp,5D,12:12,Batch9_5Days,31,1056.03654645005,152.784195575665,27.4408515912852,56.0416953823317,457.972286270735,116.415420146799,20.9088266960397,42.7015208548979,598.112903225807,60.0507715295176,10.7854369574999,22.0268008274754,39.758064516129,7.70808122226487,1.38441225597179,2.82734701853705,18.6055973715442,4.29716416540373,0.771793467785971,1.5762125412125,25.2096774193548,8.54085689841129,1.53398318280662,3.13281160267528,31.4627140928738,13.2144874319825,2.37339200635024,4.84711312257462
M,SIP-L2-2,21.5C,Iso,5D,12:12,Batch9_5Days,32,1074.42381117667,157.57070444542,27.8548284074244,56.8102970840066,479.151630811936,110.687667626493,19.567000093104,39.9071597955254,595.3125,62.61772783094,11.0693549929378,22.5760983510319,38.453125,10.3037413929867,1.82146135264336,3.71489492080753,20.2960587597105,7.61999071170687,1.34703677620661,2.74729961786385,26.046875,10.091004757512,1.78385447325561,3.63819518461919,33.2295395944147,24.9615514046016,4.4126205667826,8.99959897979845
M,SIP-S2-1,21.5C,Grp,5D,12:12,Batch9_5Days,21,715.132642435662,268.13133400636,58.5110540130302,122.05191993218,414.521661544562,113.10388318072,24.6812907651949,51.4842703675372,300.571428571429,172.967792212473,37.7446666953833,78.7339950558029,36.6904761904762,11.0357104330399,2.40818944795329,5.02339516252192,24.8831780258546,11.3366066994976,2.47385039639957,5.16036150089368,22.4285714285714,9.21043662684581,2.0098820488626,4.19254048724322,30.4942845347999,10.6470673394858,2.32338057202313,4.84648694732791
M,SIP-S2-1,21.5C,Iso,5D,12:12,Batch9_5Days,29,356.514141402052,209.161005882485,38.8402237208003,79.5605916586124,231.063677044198,119.782262242096,22.2430076946583,45.5627358167446,125.413793103448,113.331141616497,21.0450646684668,43.1088607664301,30.7931034482759,11.0627409105159,2.05429941454336,4.2080415921364,44.4614931397935,49.2532438797851,9.1460977785735,18.7349320091876,16.7586206896552,11.7143232607833,2.17529521942646,4.4558902629862,45.6722647928076,42.055437629054,7.80949871271109,15.9970329369582
