file,monitor,region_id,status,start_datetime,stop_datetime,Sex,Genotype,Temperature,Treatment,Environment,Light
Monitor3.txt,M3,13,OK,2019-08-20 10:01:00,2019-08-23 10:20:00,M,SIP-S2-1,21.5C,Grp,5D,12:12
Monitor3.txt,M3,14,OK,2019-08-20 10:01:00,2019-08-23 10:20:00,M,SIP-S2-1,21.5C,Grp,5D,12:12
Monitor3.txt,M3,15,OK,2019-08-20 10:01:00,2019-08-23 10:20:00,M,SIP-S2-1,21.5C,Grp,5D,12:12
Monitor3.txt,M3,16,OK,2019-08-20 10:01:00,2019-08-23 10:20:00,M,SIP-S2-1,21.5C,Grp,5D,12:12
Monitor3.txt,M3,17,OK,2019-08-20 10:01:00,2019-08-23 10:20:00,M,SIP-S2-1,21.5C,Grp,5D,12:12
Monitor3.txt,M3,18,OK,2019-08-20 10:01:00,2019-08-23 10:20:00,M,SIP-S2-1,21.5C,Grp,5D,12:12
Monitor3.txt,M3,19,OK,2019-08-20 10:01:00,2019-08-23 10:20:00,M,SIP-S2-1,21.5C,Grp,5D,12:12
Monitor3.txt,M3,20,OK,2019-08-20 10:01:00,2019-08-23 10:20:00,M,SIP-S2-1,21.5C,Grp,5D,12:12
Monitor3.txt,M3,21,OK,2019-08-20 10:01:00,2019-08-23 10:20:00,M,SIP-S2-1,21.5C,Grp,5D,12:12
Monitor3.txt,M3,22,OK,2019-08-20 10:01:00,2019-08-23 10:20:00,M,SIP-S2-1,21.5C,Grp,5D,12:12
Monitor3.txt,M3,23,OK,2019-08-20 10:01:00,2019-08-23 10:20:00,M,SIP-S2-1,21.5C,Grp,5D,12:12
Monitor3.txt,M3,24,OK,2019-08-20 10:01:00,2019-08-23 10:20:00,M,SIP-S2-1,21.5C,Grp,5D,12:12
Monitor3.txt,M3,25,OK,2019-08-20 10:01:00,2019-08-23 10:20:00,M,SIP-S2-1,21.5C,Grp,5D,12:12
Monitor3.txt,M3,26,OK,2019-08-20 10:01:00,2019-08-23 10:20:00,M,SIP-S2-1,21.5C,Grp,5D,12:12
Monitor3.txt,M3,27,OK,2019-08-20 10:01:00,2019-08-23 10:20:00,M,SIP-S2-1,21.5C,Grp,5D,12:12
Monitor3.txt,M3,28,OK,2019-08-20 10:01:00,2019-08-23 10:20:00,M,SIP-S2-1,21.5C,Grp,5D,12:12
