"","Sleep_Time_All","Sleep_Time_L","Sleep_Time_D","n_Bouts_L","n_Bouts_D","mean_Bout_Length_L","mean_Bout_Length_D"
"SIP-S2-8",0.816526954329814,0.842598971713417,0.591323098684419,0.267839824018685,0.848050906234243,0.0929116859512061,0.841891676753052
"SIP-L2-1",0.064802555222181,0.594236651192084,0.00117124279999259,0.375109677310385,0.00575526683676197,0.808144637098473,0.023150351543442
"CS",0.00121284051449033,3.54178883262559e-06,0.416341354868331,0.0781683923934178,0.118693201105887,0.0920424820128262,0.981327626021349
"SIP-S2-10",0.475978121779506,0.221743047289192,0.853766231615065,0.155659179452768,0.623106968244562,0.0208392319800641,0.978575183142925
"SIP-L2-2",0.63985346479995,0.462402639976793,0.856813318962772,0.570650539337706,0.723206860434749,0.281509142422218,0.725927448554412
"SIP-S2-1",1.05221234454849e-05,1.62739931513478e-06,0.000299677191543757,0.0692385342826093,0.0615826780225476,0.046965228986993,0.0714575800491074
"SIP-L1-2",0.00121125216433473,0.000165383669755721,0.424099568455127,0.0603828967268639,0.776505969788137,0.090727813531883,0.310475304880039
