file,monitor,region_id,status,start_datetime,stop_datetime,sex,genotype,temp,treatment
Monitor42.txt,M42,18,OK,2024-11-22 09:05:00,2024-11-30 09:05:00,M,CS 8:16,21.5C,CS 8:16
Monitor42.txt,M42,19,OK,2024-11-22 09:05:00,2024-11-30 09:05:00,M,CS 8:16,21.5C,CS 8:16
Monitor42.txt,M42,20,OK,2024-11-22 09:05:00,2024-11-30 09:05:00,M,CS 8:16,21.5C,CS 8:16
Monitor42.txt,M42,21,OK,2024-11-22 09:05:00,2024-11-30 09:05:00,M,CS 8:16,21.5C,CS 8:16
Monitor42.txt,M42,22,OK,2024-11-22 09:05:00,2024-11-30 09:05:00,M,CS 8:16,21.5C,CS 8:16
Monitor42.txt,M42,23,OK,2024-11-22 09:05:00,2024-11-30 09:05:00,M,CS 8:16,21.5C,CS 8:16
Monitor42.txt,M42,24,OK,2024-11-22 09:05:00,2024-11-30 09:05:00,M,CS 8:16,21.5C,CS 8:16
Monitor42.txt,M42,25,OK,2024-11-22 09:05:00,2024-11-30 09:05:00,M,CS 8:16,21.5C,CS 8:16
Monitor42.txt,M42,26,OK,2024-11-22 09:05:00,2024-11-30 09:05:00,M,CS 8:16,21.5C,CS 8:16
Monitor42.txt,M42,27,OK,2024-11-22 09:05:00,2024-11-30 09:05:00,M,CS 8:16,21.5C,CS 8:16
Monitor42.txt,M42,28,OK,2024-11-22 09:05:00,2024-11-30 09:05:00,M,CS 8:16,21.5C,CS 8:16
Monitor42.txt,M42,29,OK,2024-11-22 09:05:00,2024-11-30 09:05:00,M,CS 8:16,21.5C,CS 8:16
Monitor42.txt,M42,30,OK,2024-11-22 09:05:00,2024-11-30 09:05:00,M,CS 8:16,21.5C,CS 8:16
Monitor42.txt,M42,31,OK,2024-11-22 09:05:00,2024-11-30 09:05:00,M,CS 8:16,21.5C,CS 8:16
Monitor42.txt,M42,32,OK,2024-11-22 09:05:00,2024-11-30 09:05:00,M,CS 8:16,21.5C,CS 8:16
Monitor44.txt,M44,1,OK,2024-11-22 09:05:00,2024-11-30 09:05:00,M,SIP_S1_1 12:12,21.5C,SIP_S1_1 12:12
Monitor44.txt,M44,2,OK,2024-11-22 09:05:00,2024-11-30 09:05:00,M,SIP_S1_1 12:12,21.5C,SIP_S1_1 12:12
Monitor44.txt,M44,3,OK,2024-11-22 09:05:00,2024-11-30 09:05:00,M,SIP_S1_1 12:12,21.5C,SIP_S1_1 12:12
Monitor44.txt,M44,4,OK,2024-11-22 09:05:00,2024-11-30 09:05:00,M,SIP_S1_1 12:12,21.5C,SIP_S1_1 12:12
Monitor44.txt,M44,5,OK,2024-11-22 09:05:00,2024-11-30 09:05:00,M,SIP_S1_1 12:12,21.5C,SIP_S1_1 12:12
Monitor44.txt,M44,6,OK,2024-11-22 09:05:00,2024-11-30 09:05:00,M,SIP_S1_1 12:12,21.5C,SIP_S1_1 12:12
Monitor44.txt,M44,7,OK,2024-11-22 09:05:00,2024-11-30 09:05:00,M,SIP_S1_1 12:12,21.5C,SIP_S1_1 12:12
Monitor44.txt,M44,8,OK,2024-11-22 09:05:00,2024-11-30 09:05:00,M,SIP_S1_1 12:12,21.5C,SIP_S1_1 12:12
Monitor44.txt,M44,9,OK,2024-11-22 09:05:00,2024-11-30 09:05:00,M,SIP_S1_1 12:12,21.5C,SIP_S1_1 12:12
Monitor44.txt,M44,10,OK,2024-11-22 09:05:00,2024-11-30 09:05:00,M,SIP_S1_1 12:12,21.5C,SIP_S1_1 12:12
Monitor44.txt,M44,11,OK,2024-11-22 09:05:00,2024-11-30 09:05:00,M,SIP_S1_1 12:12,21.5C,SIP_S1_1 12:12
