file,region_id,status,start_datetime,stop_datetime,Sex,Genotype,Temperature,Treatment,Environment,Light,monitor
Monitor39.txt,4,OK,2019-08-17 10:00:00,2019-08-19 10:20:00,M,SIP-S2-1,21.5C,Grp,2D,12:12,M39
Monitor39.txt,5,OK,2019-08-17 10:00:00,2019-08-19 10:20:00,M,SIP-S2-1,21.5C,Grp,2D,12:12,M39
Monitor39.txt,6,OK,2019-08-17 10:00:00,2019-08-19 10:20:00,M,SIP-S2-1,21.5C,Grp,2D,12:12,M39
Monitor39.txt,7,OK,2019-08-17 10:00:00,2019-08-19 10:20:00,M,SIP-S2-1,21.5C,Grp,2D,12:12,M39
Monitor39.txt,8,OK,2019-08-17 10:00:00,2019-08-19 10:20:00,M,SIP-S2-1,21.5C,Grp,2D,12:12,M39
Monitor39.txt,9,OK,2019-08-17 10:00:00,2019-08-19 10:20:00,M,SIP-S2-1,21.5C,Grp,2D,12:12,M39
Monitor39.txt,10,OK,2019-08-17 10:00:00,2019-08-19 10:20:00,M,SIP-S2-1,21.5C,Grp,2D,12:12,M39
Monitor39.txt,11,OK,2019-08-17 10:00:00,2019-08-19 10:20:00,M,SIP-S2-1,21.5C,Grp,2D,12:12,M39
Monitor39.txt,12,OK,2019-08-17 10:00:00,2019-08-19 10:20:00,M,SIP-S2-1,21.5C,Grp,2D,12:12,M39
Monitor39.txt,13,OK,2019-08-17 10:00:00,2019-08-19 10:20:00,M,SIP-S2-1,21.5C,Grp,2D,12:12,M39
Monitor39.txt,14,OK,2019-08-17 10:00:00,2019-08-19 10:20:00,M,SIP-S2-1,21.5C,Grp,2D,12:12,M39
Monitor39.txt,15,OK,2019-08-17 10:00:00,2019-08-19 10:20:00,M,SIP-S2-1,21.5C,Grp,2D,12:12,M39
Monitor39.txt,16,OK,2019-08-17 10:00:00,2019-08-19 10:20:00,M,SIP-S2-1,21.5C,Grp,2D,12:12,M39
Monitor39.txt,17,OK,2019-08-17 10:00:00,2019-08-19 10:20:00,M,SIP-S2-1,21.5C,Grp,2D,12:12,M39
Monitor39.txt,18,OK,2019-08-17 10:00:00,2019-08-19 10:20:00,M,SIP-S2-1,21.5C,Grp,2D,12:12,M39
Monitor39.txt,19,OK,2019-08-17 10:00:00,2019-08-19 10:20:00,M,SIP-S2-1,21.5C,Grp,2D,12:12,M39
Monitor39.txt,20,OK,2019-08-17 10:00:00,2019-08-19 10:20:00,M,SIP-S2-1,21.5C,Grp,2D,12:12,M39
Monitor39.txt,21,OK,2019-08-17 10:00:00,2019-08-19 10:20:00,M,SIP-S2-1,21.5C,Grp,2D,12:12,M39
Monitor39.txt,22,OK,2019-08-17 10:00:00,2019-08-19 10:20:00,M,SIP-S2-1,21.5C,Grp,2D,12:12,M39
Monitor39.txt,23,OK,2019-08-17 10:00:00,2019-08-19 10:20:00,M,SIP-S2-1,21.5C,Grp,2D,12:12,M39
Monitor39.txt,24,OK,2019-08-17 10:00:00,2019-08-19 10:20:00,M,SIP-S2-1,21.5C,Grp,2D,12:12,M39
Monitor39.txt,25,OK,2019-08-17 10:00:00,2019-08-19 10:20:00,M,SIP-S2-1,21.5C,Grp,2D,12:12,M39
Monitor39.txt,26,OK,2019-08-17 10:00:00,2019-08-19 10:20:00,M,SIP-S2-1,21.5C,Grp,2D,12:12,M39
Monitor39.txt,27,OK,2019-08-17 10:00:00,2019-08-19 10:20:00,M,SIP-S2-1,21.5C,Grp,2D,12:12,M39
Monitor39.txt,28,OK,2019-08-17 10:00:00,2019-08-19 10:20:00,M,SIP-S2-1,21.5C,Grp,2D,12:12,M39
Monitor39.txt,29,OK,2019-08-17 10:00:00,2019-08-19 10:20:00,M,SIP-S2-1,21.5C,Grp,2D,12:12,M39
Monitor39.txt,30,OK,2019-08-17 10:00:00,2019-08-19 10:20:00,M,SIP-S2-1,21.5C,Grp,2D,12:12,M39
Monitor39.txt,31,OK,2019-08-17 10:00:00,2019-08-19 10:20:00,M,SIP-S2-1,21.5C,Grp,2D,12:12,M39
Monitor39.txt,32,OK,2019-08-17 10:00:00,2019-08-19 10:20:00,M,SIP-S2-1,21.5C,Grp,2D,12:12,M39
Monitor53.txt,1,OK,2019-08-17 10:00:00,2019-08-19 10:20:00,M,CS,21.5C,Iso,2D,12:12,M53
