"","Sleep_Time_All","Sleep_Time_L","Sleep_Time_D","n_Bouts_L","n_Bouts_D","mean_Bout_Length_L","mean_Bout_Length_D"
"SIP-S2-8",0.116421286531757,0.0504845542332781,0.347226358093541,0.329412857084328,0.550489431720263,0.377769453829035,0.976904371783605
"SIP-S2-1",0.222129274957529,0.49280759642102,0.141450833988813,0.157482576793431,0.761355864131798,0.501083834094994,0.862888350242805
"SIP-S2-10",0.378130996662931,0.0036003946017291,0.328416835235627,0.0322654592504483,0.728431149414984,0.484728536893543,0.255480296853645
"SIP-L2-1",0.0682174205902877,0.258574994072257,0.0194482588000507,0.554453139918649,0.0901931344216975,0.826038271297698,0.155082193554744
"SIP-L2-2",0.558854650112535,0.827055514461683,0.103841283601346,0.0509431931378029,0.258847508183017,0.0342434078718771,0.425986628311621
"CS",0.0988362752973354,0.300022390010627,0.0674065275936875,0.510471140181951,0.664940386737741,0.161072892289037,0.779599055812106
