rowname,factor,Freq,cumFreq,relative,cumProp,d1,d2,d3,TimeofDay
5,5,289,289,0.129712746858169,0.129712746858169,Iso,M,SIP-S2-8,Day
6,6,266,555,0.119389587073609,0.249102333931777,Iso,M,SIP-S2-8,Day
7,7,165,720,0.0740574506283662,0.323159784560144,Iso,M,SIP-S2-8,Day
8,8,140,860,0.0628366247755835,0.385996409335727,Iso,M,SIP-S2-8,Day
9,9,121,981,0.0543087971274686,0.440305206463196,Iso,M,SIP-S2-8,Day
10,10,92,1073,0.0412926391382406,0.481597845601436,Iso,M,SIP-S2-8,Day
11,11,89,1162,0.0399461400359066,0.521543985637343,Iso,M,SIP-S2-8,Day
12,12,74,1236,0.033213644524237,0.55475763016158,Iso,M,SIP-S2-8,Day
13,13,65,1301,0.0291741472172352,0.583931777378815,Iso,M,SIP-S2-8,Day
14,14,58,1359,0.026032315978456,0.609964093357271,Iso,M,SIP-S2-8,Day
15,15,52,1411,0.0233393177737882,0.633303411131059,Iso,M,SIP-S2-8,Day
16,16,55,1466,0.0246858168761221,0.657989228007181,Iso,M,SIP-S2-8,Day
17,17,48,1514,0.0215439856373429,0.679533213644524,Iso,M,SIP-S2-8,Day
18,18,59,1573,0.0264811490125673,0.706014362657092,Iso,M,SIP-S2-8,Day
19,19,39,1612,0.0175044883303411,0.723518850987433,Iso,M,SIP-S2-8,Day
20,20,41,1653,0.0184021543985637,0.741921005385996,Iso,M,SIP-S2-8,Day
21,21,35,1688,0.0157091561938959,0.757630161579892,Iso,M,SIP-S2-8,Day
22,22,29,1717,0.013016157989228,0.77064631956912,Iso,M,SIP-S2-8,Day
23,23,32,1749,0.0143626570915619,0.785008976660682,Iso,M,SIP-S2-8,Day
24,24,32,1781,0.0143626570915619,0.799371633752244,Iso,M,SIP-S2-8,Day
25,25,27,1808,0.0121184919210054,0.81149012567325,Iso,M,SIP-S2-8,Day
26,26,25,1833,0.0112208258527828,0.822710951526032,Iso,M,SIP-S2-8,Day
27,27,13,1846,0.00583482944344704,0.828545780969479,Iso,M,SIP-S2-8,Day
28,28,23,1869,0.0103231597845601,0.83886894075404,Iso,M,SIP-S2-8,Day
29,29,12,1881,0.00538599640933573,0.844254937163375,Iso,M,SIP-S2-8,Day
30,30,18,1899,0.00807899461400359,0.852333931777379,Iso,M,SIP-S2-8,Day
31,31,15,1914,0.00673249551166966,0.859066427289049,Iso,M,SIP-S2-8,Day
32,32,11,1925,0.00493716337522442,0.864003590664273,Iso,M,SIP-S2-8,Day
33,33,12,1937,0.00538599640933573,0.869389587073609,Iso,M,SIP-S2-8,Day
34,34,12,1949,0.00538599640933573,0.874775583482944,Iso,M,SIP-S2-8,Day
35,35,13,1962,0.00583482944344704,0.880610412926392,Iso,M,SIP-S2-8,Day
36,36,10,1972,0.00448833034111311,0.885098743267504,Iso,M,SIP-S2-8,Day
37,37,7,1979,0.00314183123877917,0.888240574506284,Iso,M,SIP-S2-8,Day
38,38,8,1987,0.00359066427289048,0.891831238779174,Iso,M,SIP-S2-8,Day
39,39,15,2002,0.00673249551166966,0.898563734290844,Iso,M,SIP-S2-8,Day
40,40,5,2007,0.00224416517055655,0.9008078994614,Iso,M,SIP-S2-8,Day
41,41,9,2016,0.0040394973070018,0.904847396768402,Iso,M,SIP-S2-8,Day
42,42,4,2020,0.00179533213644524,0.906642728904847,Iso,M,SIP-S2-8,Day
43,43,10,2030,0.00448833034111311,0.91113105924596,Iso,M,SIP-S2-8,Day
44,44,11,2041,0.00493716337522442,0.916068222621185,Iso,M,SIP-S2-8,Day
45,45,3,2044,0.00134649910233393,0.917414721723519,Iso,M,SIP-S2-8,Day
46,46,6,2050,0.00269299820466786,0.920107719928187,Iso,M,SIP-S2-8,Day
47,47,2,2052,0.000897666068222621,0.921005385996409,Iso,M,SIP-S2-8,Day
48,48,1,2053,0.000448833034111311,0.921454219030521,Iso,M,SIP-S2-8,Day
49,49,9,2062,0.0040394973070018,0.925493716337522,Iso,M,SIP-S2-8,Day
50,50,4,2066,0.00179533213644524,0.927289048473968,Iso,M,SIP-S2-8,Day
51,51,4,2070,0.00179533213644524,0.929084380610413,Iso,M,SIP-S2-8,Day
52,52,3,2073,0.00134649910233393,0.930430879712747,Iso,M,SIP-S2-8,Day
53,53,5,2078,0.00224416517055655,0.932675044883304,Iso,M,SIP-S2-8,Day
54,54,4,2082,0.00179533213644524,0.934470377019749,Iso,M,SIP-S2-8,Day
55,55,3,2085,0.00134649910233393,0.935816876122083,Iso,M,SIP-S2-8,Day
56,56,1,2086,0.000448833034111311,0.936265709156194,Iso,M,SIP-S2-8,Day
57,57,4,2090,0.00179533213644524,0.938061041292639,Iso,M,SIP-S2-8,Day
58,58,4,2094,0.00179533213644524,0.939856373429084,Iso,M,SIP-S2-8,Day
59,59,3,2097,0.00134649910233393,0.941202872531418,Iso,M,SIP-S2-8,Day
60,60,2,2099,0.000897666068222621,0.942100538599641,Iso,M,SIP-S2-8,Day
61,61,4,2103,0.00179533213644524,0.943895870736086,Iso,M,SIP-S2-8,Day
62,62,1,2104,0.000448833034111311,0.944344703770197,Iso,M,SIP-S2-8,Day
63,63,3,2107,0.00134649910233393,0.945691202872531,Iso,M,SIP-S2-8,Day
64,64,2,2109,0.000897666068222621,0.946588868940754,Iso,M,SIP-S2-8,Day
65,65,3,2112,0.00134649910233393,0.947935368043088,Iso,M,SIP-S2-8,Day
66,66,3,2115,0.00134649910233393,0.949281867145422,Iso,M,SIP-S2-8,Day
67,67,2,2117,0.000897666068222621,0.950179533213644,Iso,M,SIP-S2-8,Day
68,68,1,2118,0.000448833034111311,0.950628366247756,Iso,M,SIP-S2-8,Day
69,69,2,2120,0.000897666068222621,0.951526032315978,Iso,M,SIP-S2-8,Day
70,70,1,2121,0.000448833034111311,0.95197486535009,Iso,M,SIP-S2-8,Day
71,71,3,2124,0.00134649910233393,0.953321364452424,Iso,M,SIP-S2-8,Day
74,74,1,2125,0.000448833034111311,0.953770197486535,Iso,M,SIP-S2-8,Day
75,75,2,2127,0.000897666068222621,0.954667863554758,Iso,M,SIP-S2-8,Day
76,76,1,2128,0.000448833034111311,0.955116696588869,Iso,M,SIP-S2-8,Day
78,78,3,2131,0.00134649910233393,0.956463195691203,Iso,M,SIP-S2-8,Day
79,79,3,2134,0.00134649910233393,0.957809694793537,Iso,M,SIP-S2-8,Day
82,82,2,2136,0.000897666068222621,0.958707360861759,Iso,M,SIP-S2-8,Day
83,83,1,2137,0.000448833034111311,0.959156193895871,Iso,M,SIP-S2-8,Day
85,85,3,2140,0.00134649910233393,0.960502692998205,Iso,M,SIP-S2-8,Day
86,86,2,2142,0.000897666068222621,0.961400359066427,Iso,M,SIP-S2-8,Day
88,88,2,2144,0.000897666068222621,0.96229802513465,Iso,M,SIP-S2-8,Day
89,89,1,2145,0.000448833034111311,0.962746858168761,Iso,M,SIP-S2-8,Day
91,91,1,2146,0.000448833034111311,0.963195691202873,Iso,M,SIP-S2-8,Day
92,92,1,2147,0.000448833034111311,0.963644524236984,Iso,M,SIP-S2-8,Day
95,95,1,2148,0.000448833034111311,0.964093357271095,Iso,M,SIP-S2-8,Day
96,96,2,2150,0.000897666068222621,0.964991023339318,Iso,M,SIP-S2-8,Day
