rowname,factor,Freq,cumFreq,relative,cumProp,d1,d2,d3,TimeofDay
97,97,2,2152,0.000897666068222621,0.96588868940754,Iso,M,SIP-S2-8,Day
99,99,2,2154,0.000897666068222621,0.966786355475763,Iso,M,SIP-S2-8,Day
100,100,1,2155,0.000448833034111311,0.967235188509874,Iso,M,SIP-S2-8,Day
102,102,1,2156,0.000448833034111311,0.967684021543986,Iso,M,SIP-S2-8,Day
106,106,1,2157,0.000448833034111311,0.968132854578097,Iso,M,SIP-S2-8,Day
110,110,1,2158,0.000448833034111311,0.968581687612208,Iso,M,SIP-S2-8,Day
112,112,2,2160,0.000897666068222621,0.969479353680431,Iso,M,SIP-S2-8,Day
113,113,1,2161,0.000448833034111311,0.969928186714542,Iso,M,SIP-S2-8,Day
115,115,1,2162,0.000448833034111311,0.970377019748654,Iso,M,SIP-S2-8,Day
116,116,1,2163,0.000448833034111311,0.970825852782765,Iso,M,SIP-S2-8,Day
119,119,1,2164,0.000448833034111311,0.971274685816876,Iso,M,SIP-S2-8,Day
121,121,1,2165,0.000448833034111311,0.971723518850987,Iso,M,SIP-S2-8,Day
123,123,1,2166,0.000448833034111311,0.972172351885099,Iso,M,SIP-S2-8,Day
124,124,1,2167,0.000448833034111311,0.97262118491921,Iso,M,SIP-S2-8,Day
128,128,1,2168,0.000448833034111311,0.973070017953321,Iso,M,SIP-S2-8,Day
130,130,2,2170,0.000897666068222621,0.973967684021544,Iso,M,SIP-S2-8,Day
131,131,1,2171,0.000448833034111311,0.974416517055655,Iso,M,SIP-S2-8,Day
134,134,1,2172,0.000448833034111311,0.974865350089767,Iso,M,SIP-S2-8,Day
136,136,1,2173,0.000448833034111311,0.975314183123878,Iso,M,SIP-S2-8,Day
139,139,1,2174,0.000448833034111311,0.975763016157989,Iso,M,SIP-S2-8,Day
141,141,1,2175,0.000448833034111311,0.9762118491921,Iso,M,SIP-S2-8,Day
142,142,1,2176,0.000448833034111311,0.976660682226212,Iso,M,SIP-S2-8,Day
145,145,1,2177,0.000448833034111311,0.977109515260323,Iso,M,SIP-S2-8,Day
147,147,1,2178,0.000448833034111311,0.977558348294435,Iso,M,SIP-S2-8,Day
152,152,2,2180,0.000897666068222621,0.978456014362657,Iso,M,SIP-S2-8,Day
154,154,1,2181,0.000448833034111311,0.978904847396768,Iso,M,SIP-S2-8,Day
156,156,1,2182,0.000448833034111311,0.97935368043088,Iso,M,SIP-S2-8,Day
158,158,1,2183,0.000448833034111311,0.979802513464991,Iso,M,SIP-S2-8,Day
159,159,1,2184,0.000448833034111311,0.980251346499102,Iso,M,SIP-S2-8,Day
160,160,1,2185,0.000448833034111311,0.980700179533214,Iso,M,SIP-S2-8,Day
162,162,1,2186,0.000448833034111311,0.981149012567325,Iso,M,SIP-S2-8,Day
167,167,1,2187,0.000448833034111311,0.981597845601436,Iso,M,SIP-S2-8,Day
168,168,1,2188,0.000448833034111311,0.982046678635547,Iso,M,SIP-S2-8,Day
169,169,1,2189,0.000448833034111311,0.982495511669659,Iso,M,SIP-S2-8,Day
175,175,1,2190,0.000448833034111311,0.98294434470377,Iso,M,SIP-S2-8,Day
181,181,1,2191,0.000448833034111311,0.983393177737882,Iso,M,SIP-S2-8,Day
182,182,1,2192,0.000448833034111311,0.983842010771993,Iso,M,SIP-S2-8,Day
183,183,1,2193,0.000448833034111311,0.984290843806104,Iso,M,SIP-S2-8,Day
185,185,1,2194,0.000448833034111311,0.984739676840215,Iso,M,SIP-S2-8,Day
191,191,1,2195,0.000448833034111311,0.985188509874327,Iso,M,SIP-S2-8,Day
201,201,1,2196,0.000448833034111311,0.985637342908438,Iso,M,SIP-S2-8,Day
202,202,1,2197,0.000448833034111311,0.986086175942549,Iso,M,SIP-S2-8,Day
204,204,1,2198,0.000448833034111311,0.986535008976661,Iso,M,SIP-S2-8,Day
209,209,1,2199,0.000448833034111311,0.986983842010772,Iso,M,SIP-S2-8,Day
214,214,1,2200,0.000448833034111311,0.987432675044883,Iso,M,SIP-S2-8,Day
227,227,1,2201,0.000448833034111311,0.987881508078994,Iso,M,SIP-S2-8,Day
232,232,1,2202,0.000448833034111311,0.988330341113106,Iso,M,SIP-S2-8,Day
235,235,1,2203,0.000448833034111311,0.988779174147217,Iso,M,SIP-S2-8,Day
236,236,1,2204,0.000448833034111311,0.989228007181329,Iso,M,SIP-S2-8,Day
244,244,1,2205,0.000448833034111311,0.98967684021544,Iso,M,SIP-S2-8,Day
245,245,1,2206,0.000448833034111311,0.990125673249551,Iso,M,SIP-S2-8,Day
252,252,1,2207,0.000448833034111311,0.990574506283662,Iso,M,SIP-S2-8,Day
262,262,1,2208,0.000448833034111311,0.991023339317774,Iso,M,SIP-S2-8,Day
269,269,1,2209,0.000448833034111311,0.991472172351885,Iso,M,SIP-S2-8,Day
271,271,1,2210,0.000448833034111311,0.991921005385996,Iso,M,SIP-S2-8,Day
274,274,1,2211,0.000448833034111311,0.992369838420108,Iso,M,SIP-S2-8,Day
299,299,1,2212,0.000448833034111311,0.992818671454219,Iso,M,SIP-S2-8,Day
306,306,1,2213,0.000448833034111311,0.99326750448833,Iso,M,SIP-S2-8,Day
311,311,1,2214,0.000448833034111311,0.993716337522442,Iso,M,SIP-S2-8,Day
314,314,1,2215,0.000448833034111311,0.994165170556553,Iso,M,SIP-S2-8,Day
317,317,1,2216,0.000448833034111311,0.994614003590664,Iso,M,SIP-S2-8,Day
336,336,1,2217,0.000448833034111311,0.995062836624776,Iso,M,SIP-S2-8,Day
345,345,1,2218,0.000448833034111311,0.995511669658887,Iso,M,SIP-S2-8,Day
371,371,1,2219,0.000448833034111311,0.995960502692998,Iso,M,SIP-S2-8,Day
390,390,2,2221,0.000897666068222621,0.996858168761221,Iso,M,SIP-S2-8,Day
396,396,1,2222,0.000448833034111311,0.997307001795332,Iso,M,SIP-S2-8,Day
563,563,1,2223,0.000448833034111311,0.997755834829443,Iso,M,SIP-S2-8,Day
587,587,1,2224,0.000448833034111311,0.998204667863555,Iso,M,SIP-S2-8,Day
617,617,1,2225,0.000448833034111311,0.998653500897666,Iso,M,SIP-S2-8,Day
730,730,1,2226,0.000448833034111311,0.999102333931777,Iso,M,SIP-S2-8,Day
747,747,1,2227,0.000448833034111311,0.999551166965889,Iso,M,SIP-S2-8,Day
873,873,1,2228,0.000448833034111311,1,Iso,M,SIP-S2-8,Day
5,5,219,219,0.108415841584158,0.108415841584158,Grp,M,SIP-S2-8,Day
6,6,167,386,0.0826732673267327,0.191089108910891,Grp,M,SIP-S2-8,Day
7,7,141,527,0.0698019801980198,0.260891089108911,Grp,M,SIP-S2-8,Day
8,8,104,631,0.0514851485148515,0.312376237623762,Grp,M,SIP-S2-8,Day
9,9,90,721,0.0445544554455446,0.356930693069307,Grp,M,SIP-S2-8,Day
10,10,83,804,0.0410891089108911,0.398019801980198,Grp,M,SIP-S2-8,Day
11,11,66,870,0.0326732673267327,0.430693069306931,Grp,M,SIP-S2-8,Day
12,12,61,931,0.0301980198019802,0.460891089108911,Grp,M,SIP-S2-8,Day
13,13,73,1004,0.0361386138613861,0.497029702970297,Grp,M,SIP-S2-8,Day
14,14,75,1079,0.0371287128712871,0.534158415841584,Grp,M,SIP-S2-8,Day
15,15,52,1131,0.0257425742574257,0.55990099009901,Grp,M,SIP-S2-8,Day
16,16,40,1171,0.0198019801980198,0.57970297029703,Grp,M,SIP-S2-8,Day
17,17,39,1210,0.0193069306930693,0.599009900990099,Grp,M,SIP-S2-8,Day
18,18,44,1254,0.0217821782178218,0.620792079207921,Grp,M,SIP-S2-8,Day
19,19,44,1298,0.0217821782178218,0.642574257425743,Grp,M,SIP-S2-8,Day
20,20,41,1339,0.0202970297029703,0.662871287128713,Grp,M,SIP-S2-8,Day
21,21,32,1371,0.0158415841584158,0.678712871287129,Grp,M,SIP-S2-8,Day
22,22,40,1411,0.0198019801980198,0.698514851485149,Grp,M,SIP-S2-8,Day
23,23,35,1446,0.0173267326732673,0.715841584158416,Grp,M,SIP-S2-8,Day
24,24,26,1472,0.0128712871287129,0.728712871287129,Grp,M,SIP-S2-8,Day
25,25,31,1503,0.0153465346534653,0.744059405940594,Grp,M,SIP-S2-8,Day
26,26,29,1532,0.0143564356435644,0.758415841584158,Grp,M,SIP-S2-8,Day
27,27,23,1555,0.0113861386138614,0.76980198019802,Grp,M,SIP-S2-8,Day
28,28,24,1579,0.0118811881188119,0.781683168316832,Grp,M,SIP-S2-8,Day
29,29,19,1598,0.00940594059405941,0.791089108910891,Grp,M,SIP-S2-8,Day
30,30,32,1630,0.0158415841584158,0.806930693069307,Grp,M,SIP-S2-8,Day
31,31,13,1643,0.00643564356435644,0.813366336633663,Grp,M,SIP-S2-8,Day
32,32,22,1665,0.0108910891089109,0.824257425742574,Grp,M,SIP-S2-8,Day
33,33,14,1679,0.00693069306930693,0.831188118811881,Grp,M,SIP-S2-8,Day
34,34,18,1697,0.00891089108910891,0.84009900990099,Grp,M,SIP-S2-8,Day
35,35,14,1711,0.00693069306930693,0.847029702970297,Grp,M,SIP-S2-8,Day
36,36,17,1728,0.00841584158415842,0.855445544554456,Grp,M,SIP-S2-8,Day
37,37,12,1740,0.00594059405940594,0.861386138613861,Grp,M,SIP-S2-8,Day
38,38,16,1756,0.00792079207920792,0.869306930693069,Grp,M,SIP-S2-8,Day
39,39,17,1773,0.00841584158415842,0.877722772277228,Grp,M,SIP-S2-8,Day
40,40,16,1789,0.00792079207920792,0.885643564356436,Grp,M,SIP-S2-8,Day
41,41,5,1794,0.00247524752475248,0.888118811881188,Grp,M,SIP-S2-8,Day
42,42,7,1801,0.00346534653465347,0.891584158415842,Grp,M,SIP-S2-8,Day
43,43,11,1812,0.00544554455445545,0.897029702970297,Grp,M,SIP-S2-8,Day
44,44,15,1827,0.00742574257425743,0.904455445544554,Grp,M,SIP-S2-8,Day
45,45,7,1834,0.00346534653465347,0.907920792079208,Grp,M,SIP-S2-8,Day
46,46,10,1844,0.00495049504950495,0.912871287128713,Grp,M,SIP-S2-8,Day
47,47,9,1853,0.00445544554455446,0.917326732673267,Grp,M,SIP-S2-8,Day
48,48,1,1854,0.000495049504950495,0.917821782178218,Grp,M,SIP-S2-8,Day
49,49,9,1863,0.00445544554455446,0.922277227722772,Grp,M,SIP-S2-8,Day
50,50,9,1872,0.00445544554455446,0.926732673267327,Grp,M,SIP-S2-8,Day
51,51,1,1873,0.000495049504950495,0.927227722772277,Grp,M,SIP-S2-8,Day
52,52,6,1879,0.00297029702970297,0.93019801980198,Grp,M,SIP-S2-8,Day
53,53,6,1885,0.00297029702970297,0.933168316831683,Grp,M,SIP-S2-8,Day
54,54,2,1887,0.00099009900990099,0.934158415841584,Grp,M,SIP-S2-8,Day
55,55,1,1888,0.000495049504950495,0.934653465346535,Grp,M,SIP-S2-8,Day
56,56,4,1892,0.00198019801980198,0.936633663366337,Grp,M,SIP-S2-8,Day
57,57,4,1896,0.00198019801980198,0.938613861386139,Grp,M,SIP-S2-8,Day
58,58,1,1897,0.000495049504950495,0.939108910891089,Grp,M,SIP-S2-8,Day
59,59,2,1899,0.00099009900990099,0.94009900990099,Grp,M,SIP-S2-8,Day
60,60,2,1901,0.00099009900990099,0.941089108910891,Grp,M,SIP-S2-8,Day
61,61,3,1904,0.00148514851485149,0.942574257425743,Grp,M,SIP-S2-8,Day
62,62,1,1905,0.000495049504950495,0.943069306930693,Grp,M,SIP-S2-8,Day
63,63,2,1907,0.00099009900990099,0.944059405940594,Grp,M,SIP-S2-8,Day
64,64,6,1913,0.00297029702970297,0.947029702970297,Grp,M,SIP-S2-8,Day
65,65,3,1916,0.00148514851485149,0.948514851485148,Grp,M,SIP-S2-8,Day
66,66,3,1919,0.00148514851485149,0.95,Grp,M,SIP-S2-8,Day
67,67,3,1922,0.00148514851485149,0.951485148514852,Grp,M,SIP-S2-8,Day
68,68,4,1926,0.00198019801980198,0.953465346534653,Grp,M,SIP-S2-8,Day
69,69,1,1927,0.000495049504950495,0.953960396039604,Grp,M,SIP-S2-8,Day
70,70,1,1928,0.000495049504950495,0.954455445544554,Grp,M,SIP-S2-8,Day
71,71,2,1930,0.00099009900990099,0.955445544554455,Grp,M,SIP-S2-8,Day
72,72,1,1931,0.000495049504950495,0.955940594059406,Grp,M,SIP-S2-8,Day
73,73,1,1932,0.000495049504950495,0.956435643564356,Grp,M,SIP-S2-8,Day
75,75,3,1935,0.00148514851485149,0.957920792079208,Grp,M,SIP-S2-8,Day
76,76,1,1936,0.000495049504950495,0.958415841584158,Grp,M,SIP-S2-8,Day
79,79,3,1939,0.00148514851485149,0.95990099009901,Grp,M,SIP-S2-8,Day
80,80,3,1942,0.00148514851485149,0.961386138613861,Grp,M,SIP-S2-8,Day
82,82,1,1943,0.000495049504950495,0.961881188118812,Grp,M,SIP-S2-8,Day
84,84,2,1945,0.00099009900990099,0.962871287128713,Grp,M,SIP-S2-8,Day
85,85,1,1946,0.000495049504950495,0.963366336633663,Grp,M,SIP-S2-8,Day
86,86,1,1947,0.000495049504950495,0.963861386138614,Grp,M,SIP-S2-8,Day
88,88,1,1948,0.000495049504950495,0.964356435643564,Grp,M,SIP-S2-8,Day
89,89,2,1950,0.00099009900990099,0.965346534653465,Grp,M,SIP-S2-8,Day
90,90,2,1952,0.00099009900990099,0.966336633663366,Grp,M,SIP-S2-8,Day
93,93,2,1954,0.00099009900990099,0.967326732673267,Grp,M,SIP-S2-8,Day
94,94,1,1955,0.000495049504950495,0.967821782178218,Grp,M,SIP-S2-8,Day
98,98,1,1956,0.000495049504950495,0.968316831683168,Grp,M,SIP-S2-8,Day
100,100,1,1957,0.000495049504950495,0.968811881188119,Grp,M,SIP-S2-8,Day
101,101,1,1958,0.000495049504950495,0.969306930693069,Grp,M,SIP-S2-8,Day
102,102,1,1959,0.000495049504950495,0.96980198019802,Grp,M,SIP-S2-8,Day
103,103,1,1960,0.000495049504950495,0.97029702970297,Grp,M,SIP-S2-8,Day
109,109,1,1961,0.000495049504950495,0.970792079207921,Grp,M,SIP-S2-8,Day
112,112,2,1963,0.00099009900990099,0.971782178217822,Grp,M,SIP-S2-8,Day
114,114,2,1965,0.00099009900990099,0.972772277227723,Grp,M,SIP-S2-8,Day
118,118,1,1966,0.000495049504950495,0.973267326732673,Grp,M,SIP-S2-8,Day
129,129,1,1967,0.000495049504950495,0.973762376237624,Grp,M,SIP-S2-8,Day
131,131,1,1968,0.000495049504950495,0.974257425742574,Grp,M,SIP-S2-8,Day
132,132,1,1969,0.000495049504950495,0.974752475247525,Grp,M,SIP-S2-8,Day
134,134,1,1970,0.000495049504950495,0.975247524752475,Grp,M,SIP-S2-8,Day
139,139,2,1972,0.00099009900990099,0.976237623762376,Grp,M,SIP-S2-8,Day
141,141,1,1973,0.000495049504950495,0.976732673267327,Grp,M,SIP-S2-8,Day
142,142,2,1975,0.00099009900990099,0.977722772277228,Grp,M,SIP-S2-8,Day
146,146,1,1976,0.000495049504950495,0.978217821782178,Grp,M,SIP-S2-8,Day
151,151,1,1977,0.000495049504950495,0.978712871287129,Grp,M,SIP-S2-8,Day
158,158,1,1978,0.000495049504950495,0.979207920792079,Grp,M,SIP-S2-8,Day
165,165,1,1979,0.000495049504950495,0.97970297029703,Grp,M,SIP-S2-8,Day
167,167,1,1980,0.000495049504950495,0.98019801980198,Grp,M,SIP-S2-8,Day
168,168,1,1981,0.000495049504950495,0.980693069306931,Grp,M,SIP-S2-8,Day
169,169,1,1982,0.000495049504950495,0.981188118811881,Grp,M,SIP-S2-8,Day
173,173,1,1983,0.000495049504950495,0.981683168316832,Grp,M,SIP-S2-8,Day
175,175,1,1984,0.000495049504950495,0.982178217821782,Grp,M,SIP-S2-8,Day
185,185,1,1985,0.000495049504950495,0.982673267326733,Grp,M,SIP-S2-8,Day
191,191,2,1987,0.00099009900990099,0.983663366336634,Grp,M,SIP-S2-8,Day
195,195,2,1989,0.00099009900990099,0.984653465346535,Grp,M,SIP-S2-8,Day
199,199,1,1990,0.000495049504950495,0.985148514851485,Grp,M,SIP-S2-8,Day
208,208,1,1991,0.000495049504950495,0.985643564356436,Grp,M,SIP-S2-8,Day
218,218,1,1992,0.000495049504950495,0.986138613861386,Grp,M,SIP-S2-8,Day
222,222,1,1993,0.000495049504950495,0.986633663366337,Grp,M,SIP-S2-8,Day
227,227,1,1994,0.000495049504950495,0.987128712871287,Grp,M,SIP-S2-8,Day
243,243,1,1995,0.000495049504950495,0.987623762376238,Grp,M,SIP-S2-8,Day
246,246,1,1996,0.000495049504950495,0.988118811881188,Grp,M,SIP-S2-8,Day
257,257,1,1997,0.000495049504950495,0.988613861386139,Grp,M,SIP-S2-8,Day
263,263,1,1998,0.000495049504950495,0.989108910891089,Grp,M,SIP-S2-8,Day
267,267,1,1999,0.000495049504950495,0.98960396039604,Grp,M,SIP-S2-8,Day
273,273,1,2000,0.000495049504950495,0.99009900990099,Grp,M,SIP-S2-8,Day
275,275,1,2001,0.000495049504950495,0.990594059405941,Grp,M,SIP-S2-8,Day
279,279,1,2002,0.000495049504950495,0.991089108910891,Grp,M,SIP-S2-8,Day
285,285,1,2003,0.000495049504950495,0.991584158415842,Grp,M,SIP-S2-8,Day
290,290,1,2004,0.000495049504950495,0.992079207920792,Grp,M,SIP-S2-8,Day
299,299,1,2005,0.000495049504950495,0.992574257425743,Grp,M,SIP-S2-8,Day
302,302,1,2006,0.000495049504950495,0.993069306930693,Grp,M,SIP-S2-8,Day
320,320,1,2007,0.000495049504950495,0.993564356435644,Grp,M,SIP-S2-8,Day
325,325,1,2008,0.000495049504950495,0.994059405940594,Grp,M,SIP-S2-8,Day
340,340,1,2009,0.000495049504950495,0.994554455445545,Grp,M,SIP-S2-8,Day
353,353,1,2010,0.000495049504950495,0.995049504950495,Grp,M,SIP-S2-8,Day
359,359,1,2011,0.000495049504950495,0.995544554455446,Grp,M,SIP-S2-8,Day
362,362,1,2012,0.000495049504950495,0.996039603960396,Grp,M,SIP-S2-8,Day
396,396,1,2013,0.000495049504950495,0.996534653465346,Grp,M,SIP-S2-8,Day
420,420,1,2014,0.000495049504950495,0.997029702970297,Grp,M,SIP-S2-8,Day
425,425,1,2015,0.000495049504950495,0.997524752475248,Grp,M,SIP-S2-8,Day
463,463,1,2016,0.000495049504950495,0.998019801980198,Grp,M,SIP-S2-8,Day
493,493,1,2017,0.000495049504950495,0.998514851485148,Grp,M,SIP-S2-8,Day
503,503,1,2018,0.000495049504950495,0.999009900990099,Grp,M,SIP-S2-8,Day
953,953,1,2019,0.000495049504950495,0.99950495049505,Grp,M,SIP-S2-8,Day
1205,1205,1,2020,0.000495049504950495,1,Grp,M,SIP-S2-8,Day
5,5,239,239,0.124739039665971,0.124739039665971,Iso,M,SIP-S2-1,Day
6,6,172,411,0.0897703549060543,0.214509394572025,Iso,M,SIP-S2-1,Day
7,7,125,536,0.0652400835073069,0.279749478079332,Iso,M,SIP-S2-1,Day
8,8,126,662,0.0657620041753653,0.345511482254697,Iso,M,SIP-S2-1,Day
9,9,94,756,0.0490605427974948,0.394572025052192,Iso,M,SIP-S2-1,Day
10,10,74,830,0.0386221294363257,0.433194154488518,Iso,M,SIP-S2-1,Day
11,11,67,897,0.0349686847599165,0.468162839248434,Iso,M,SIP-S2-1,Day
12,12,63,960,0.0328810020876827,0.501043841336117,Iso,M,SIP-S2-1,Day
13,13,55,1015,0.028705636743215,0.529749478079332,Iso,M,SIP-S2-1,Day
14,14,60,1075,0.0313152400835073,0.561064718162839,Iso,M,SIP-S2-1,Day
15,15,47,1122,0.0245302713987474,0.585594989561587,Iso,M,SIP-S2-1,Day
16,16,38,1160,0.0198329853862213,0.605427974947808,Iso,M,SIP-S2-1,Day
17,17,46,1206,0.0240083507306889,0.629436325678497,Iso,M,SIP-S2-1,Day
18,18,34,1240,0.0177453027139875,0.647181628392484,Iso,M,SIP-S2-1,Day
19,19,42,1282,0.0219206680584551,0.669102296450939,Iso,M,SIP-S2-1,Day
20,20,29,1311,0.0151356993736952,0.684237995824635,Iso,M,SIP-S2-1,Day
21,21,25,1336,0.0130480167014614,0.697286012526096,Iso,M,SIP-S2-1,Day
22,22,27,1363,0.0140918580375783,0.711377870563674,Iso,M,SIP-S2-1,Day
23,23,27,1390,0.0140918580375783,0.725469728601253,Iso,M,SIP-S2-1,Day
24,24,22,1412,0.011482254697286,0.736951983298539,Iso,M,SIP-S2-1,Day
25,25,29,1441,0.0151356993736952,0.752087682672234,Iso,M,SIP-S2-1,Day
26,26,19,1460,0.00991649269311065,0.762004175365345,Iso,M,SIP-S2-1,Day
