bout_lengths,d1,d2,d3
7,Iso,M,SIP-S2-8
9,Iso,M,SIP-S2-8
5,Iso,M,SIP-S2-8
8,Iso,M,SIP-S2-8
5,Iso,M,SIP-S2-8
17,Iso,M,SIP-S2-8
22,Iso,M,SIP-S2-8
8,Iso,M,SIP-S2-8
13,Iso,M,SIP-S2-8
39,Iso,M,SIP-S2-8
7,Iso,M,SIP-S2-8
21,Iso,M,SIP-S2-8
8,Iso,M,SIP-S2-8
6,Iso,M,SIP-S2-8
5,Iso,M,SIP-S2-8
11,Iso,M,SIP-S2-8
5,Iso,M,SIP-S2-8
13,Iso,M,SIP-S2-8
20,Iso,M,SIP-S2-8
5,Iso,M,SIP-S2-8
13,Iso,M,SIP-S2-8
12,Iso,M,SIP-S2-8
9,Iso,M,SIP-S2-8
13,Iso,M,SIP-S2-8
6,Iso,M,SIP-S2-8
30,Iso,M,SIP-S2-8
13,Iso,M,SIP-S2-8
8,Iso,M,SIP-S2-8
10,Iso,M,SIP-S2-8
6,Iso,M,SIP-S2-8
7,Iso,M,SIP-S2-8
27,Iso,M,SIP-S2-8
6,Iso,M,SIP-S2-8
5,Iso,M,SIP-S2-8
10,Iso,M,SIP-S2-8
13,Iso,M,SIP-S2-8
11,Iso,M,SIP-S2-8
10,Iso,M,SIP-S2-8
16,Iso,M,SIP-S2-8
5,Iso,M,SIP-S2-8
6,Iso,M,SIP-S2-8
8,Iso,M,SIP-S2-8
11,Iso,M,SIP-S2-8
6,Iso,M,SIP-S2-8
11,Iso,M,SIP-S2-8
8,Iso,M,SIP-S2-8
5,Iso,M,SIP-S2-8
30,Iso,M,SIP-S2-8
11,Iso,M,SIP-S2-8
16,Iso,M,SIP-S2-8
9,Iso,M,SIP-S2-8
17,Iso,M,SIP-S2-8
7,Iso,M,SIP-S2-8
245,Iso,M,SIP-S2-8
26,Iso,M,SIP-S2-8
11,Iso,M,SIP-S2-8
9,Iso,M,SIP-S2-8
12,Iso,M,SIP-S2-8
6,Iso,M,SIP-S2-8
6,Iso,M,SIP-S2-8
8,Iso,M,SIP-S2-8
5,Iso,M,SIP-S2-8
14,Iso,M,SIP-S2-8
9,Iso,M,SIP-S2-8
12,Iso,M,SIP-S2-8
12,Iso,M,SIP-S2-8
29,Iso,M,SIP-S2-8
6,Iso,M,SIP-S2-8
5,Iso,M,SIP-S2-8
31,Iso,M,SIP-S2-8
9,Iso,M,SIP-S2-8
9,Iso,M,SIP-S2-8
6,Iso,M,SIP-S2-8
9,Iso,M,SIP-S2-8
14,Iso,M,SIP-S2-8
6,Iso,M,SIP-S2-8
13,Iso,M,SIP-S2-8
7,Iso,M,SIP-S2-8
35,Iso,M,SIP-S2-8
5,Iso,M,SIP-S2-8
7,Iso,M,SIP-S2-8
15,Iso,M,SIP-S2-8
5,Iso,M,SIP-S2-8
22,Iso,M,SIP-S2-8
6,Iso,M,SIP-S2-8
5,Iso,M,SIP-S2-8
12,Iso,M,SIP-S2-8
5,Iso,M,SIP-S2-8
28,Iso,M,SIP-S2-8
22,Iso,M,SIP-S2-8
9,Iso,M,SIP-S2-8
11,Iso,M,SIP-S2-8
19,Iso,M,SIP-S2-8
11,Iso,M,SIP-S2-8
7,Iso,M,SIP-S2-8
8,Iso,M,SIP-S2-8
12,Iso,M,SIP-S2-8
10,Iso,M,SIP-S2-8
5,Iso,M,SIP-S2-8
17,Iso,M,SIP-S2-8
11,Iso,M,SIP-S2-8
5,Iso,M,SIP-S2-8
6,Iso,M,SIP-S2-8
5,Iso,M,SIP-S2-8
6,Iso,M,SIP-S2-8
14,Iso,M,SIP-S2-8
8,Iso,M,SIP-S2-8
209,Iso,M,SIP-S2-8
79,Iso,M,SIP-S2-8
5,Iso,M,SIP-S2-8
49,Iso,M,SIP-S2-8
5,Iso,M,SIP-S2-8
16,Iso,M,SIP-S2-8
6,Iso,M,SIP-S2-8
12,Iso,M,SIP-S2-8
16,Iso,M,SIP-S2-8
10,Iso,M,SIP-S2-8
5,Iso,M,SIP-S2-8
10,Iso,M,SIP-S2-8
11,Iso,M,SIP-S2-8
21,Iso,M,SIP-S2-8
19,Iso,M,SIP-S2-8
6,Iso,M,SIP-S2-8
13,Iso,M,SIP-S2-8
17,Iso,M,SIP-S2-8
20,Iso,M,SIP-S2-8
12,Iso,M,SIP-S2-8
14,Iso,M,SIP-S2-8
6,Iso,M,SIP-S2-8
20,Iso,M,SIP-S2-8
7,Iso,M,SIP-S2-8
7,Iso,M,SIP-S2-8
6,Iso,M,SIP-S2-8
5,Iso,M,SIP-S2-8
18,Iso,M,SIP-S2-8
8,Iso,M,SIP-S2-8
10,Iso,M,SIP-S2-8
31,Iso,M,SIP-S2-8
11,Iso,M,SIP-S2-8
5,Iso,M,SIP-S2-8
16,Iso,M,SIP-S2-8
17,Iso,M,SIP-S2-8
6,Iso,M,SIP-S2-8
14,Iso,M,SIP-S2-8
10,Iso,M,SIP-S2-8
16,Iso,M,SIP-S2-8
5,Iso,M,SIP-S2-8
17,Iso,M,SIP-S2-8
6,Iso,M,SIP-S2-8
11,Iso,M,SIP-S2-8
8,Iso,M,SIP-S2-8
102,Iso,M,SIP-S2-8
5,Iso,M,SIP-S2-8
7,Iso,M,SIP-S2-8
159,Iso,M,SIP-S2-8
6,Iso,M,SIP-S2-8
10,Iso,M,SIP-S2-8
11,Iso,M,SIP-S2-8
22,Iso,M,SIP-S2-8
35,Iso,M,SIP-S2-8
29,Iso,M,SIP-S2-8
6,Iso,M,SIP-S2-8
5,Iso,M,SIP-S2-8
14,Iso,M,SIP-S2-8
18,Iso,M,SIP-S2-8
10,Iso,M,SIP-S2-8
20,Iso,M,SIP-S2-8
8,Iso,M,SIP-S2-8
10,Iso,M,SIP-S2-8
5,Iso,M,SIP-S2-8
18,Iso,M,SIP-S2-8
9,Iso,M,SIP-S2-8
23,Iso,M,SIP-S2-8
11,Iso,M,SIP-S2-8
8,Iso,M,SIP-S2-8
15,Iso,M,SIP-S2-8
21,Iso,M,SIP-S2-8
8,Iso,M,SIP-S2-8
49,Iso,M,SIP-S2-8
10,Iso,M,SIP-S2-8
30,Iso,M,SIP-S2-8
7,Iso,M,SIP-S2-8
252,Iso,M,SIP-S2-8
6,Iso,M,SIP-S2-8
67,Iso,M,SIP-S2-8
9,Iso,M,SIP-S2-8
15,Iso,M,SIP-S2-8
7,Iso,M,SIP-S2-8
17,Iso,M,SIP-S2-8
6,Iso,M,SIP-S2-8
8,Iso,M,SIP-S2-8
9,Iso,M,SIP-S2-8
7,Iso,M,SIP-S2-8
15,Iso,M,SIP-S2-8
8,Iso,M,SIP-S2-8
14,Iso,M,SIP-S2-8
20,Iso,M,SIP-S2-8
23,Iso,M,SIP-S2-8
26,Iso,M,SIP-S2-8
20,Iso,M,SIP-S2-8
8,Iso,M,SIP-S2-8
10,Iso,M,SIP-S2-8
8,Iso,M,SIP-S2-8
12,Iso,M,SIP-S2-8
7,Iso,M,SIP-S2-8
21,Iso,M,SIP-S2-8
18,Iso,M,SIP-S2-8
28,Iso,M,SIP-S2-8
6,Iso,M,SIP-S2-8
25,Iso,M,SIP-S2-8
25,Iso,M,SIP-S2-8
15,Iso,M,SIP-S2-8
5,Iso,M,SIP-S2-8
12,Iso,M,SIP-S2-8
17,Iso,M,SIP-S2-8
6,Iso,M,SIP-S2-8
8,Iso,M,SIP-S2-8
7,Iso,M,SIP-S2-8
8,Iso,M,SIP-S2-8
28,Iso,M,SIP-S2-8
16,Iso,M,SIP-S2-8
44,Iso,M,SIP-S2-8
6,Iso,M,SIP-S2-8
26,Iso,M,SIP-S2-8
6,Iso,M,SIP-S2-8
244,Iso,M,SIP-S2-8
5,Iso,M,SIP-S2-8
50,Iso,M,SIP-S2-8
5,Iso,M,SIP-S2-8
14,Iso,M,SIP-S2-8
10,Iso,M,SIP-S2-8
12,Iso,M,SIP-S2-8
6,Iso,M,SIP-S2-8
6,Iso,M,SIP-S2-8
18,Iso,M,SIP-S2-8
6,Iso,M,SIP-S2-8
15,Iso,M,SIP-S2-8
7,Iso,M,SIP-S2-8
10,Iso,M,SIP-S2-8
6,Iso,M,SIP-S2-8
11,Iso,M,SIP-S2-8
11,Iso,M,SIP-S2-8
30,Iso,M,SIP-S2-8
8,Iso,M,SIP-S2-8
5,Iso,M,SIP-S2-8
6,Iso,M,SIP-S2-8
8,Iso,M,SIP-S2-8
5,Iso,M,SIP-S2-8
7,Iso,M,SIP-S2-8
29,Iso,M,SIP-S2-8
31,Iso,M,SIP-S2-8
