seq_len,Sex,Genotype,Temperature,Treatment,Environment,Light,Batch,Sleep_Time_All,Sleep_Time_L,Sleep_Time_D,n_Bouts_L,mean_Bout_Length_L,n_Bouts_D,mean_Bout_Length_D
1,M,SIP-S2-8,21.5C,Iso,2D,12:12,Batch9_2Days,0.855640519514987,1.14266298752111,0.662084097094929,1.19230769230769,0.929713588868793,1.22432859399684,0.599886867745875
1,M,SIP-S2-8,21.5C,Iso,2D,12:12,Batch9_2Days,0.677210675601705,0.598780939829497,0.730100538799089,0.827991452991453,1.24327454603548,1.59162717219589,0.537161617455589
1,M,SIP-S2-8,21.5C,Iso,2D,12:12,Batch9_2Days,0.627846799475841,0.772414645195832,0.53035605176915,0.960470085470086,1.21224872813058,0.685624012638231,1.05453466013989
1,M,SIP-S2-8,21.5C,Iso,2D,12:12,Batch9_2Days,0.871580937847297,1.14904657963016,0.684469255124146,0.861111111111111,1.2988721389592,1.1998420221169,0.647476987391029
1,M,SIP-S2-8,21.5C,Iso,2D,12:12,Batch9_2Days,0.862325211073697,0.977966311107451,0.784341498639116,0.673433048433048,1.57006355454797,0.710110584518168,1.19260671896127
1,M,SIP-S2-8,21.5C,Iso,2D,12:12,Batch9_2Days,0.693151093934016,0.717515753057947,0.676720546575571,0.927350427350427,1.12941568555284,2.08135860979463,0.399126756240044
1,M,SIP-S2-8,21.5C,Iso,2D,12:12,Batch9_2Days,1.03407036342827,1.30863638235658,0.848914069877243,0.971509971509971,0.999411705365905,1.22432859399684,0.733500533064159
1,M,SIP-S2-8,21.5C,Iso,2D,12:12,Batch9_2Days,0.676696468558727,0.625592026687534,0.711159251235905,0.850071225071225,1.30088673333636,1.54265402843602,0.516684890380979
1,M,SIP-S2-8,21.5C,Iso,2D,12:12,Batch9_2Days,0.961052963325427,1.36481199291627,0.688774093206688,0.629273504273504,1.94215443763314,0.636650868878357,1.06797880635855
1,M,SIP-S2-8,21.5C,Iso,2D,12:12,Batch9_2Days,0.333720370892564,0.451958321321198,0.253985446869966,0.728632478632479,1.67549103605491,1.07740916271722,0.624830084728226
1,M,SIP-S2-8,21.5C,Iso,2D,12:12,Batch9_2Days,0.249390415844212,0.151929492195544,0.31511414764206,0.331196581196581,3.69210000759405,1.83649289099526,0.376097724599614
1,M,SIP-S2-8,21.5C,Iso,2D,12:12,Batch9_2Days,0.199512332675369,0.0944771632140357,0.270343831583625,0.187678062678063,4.90430803438405,1.61611374407583,0.614832803372575
1,M,SIP-S2-8,21.5C,Iso,2D,12:12,Batch9_2Days,0.0272529732778211,0.0280878052798485,0.0266899961117592,0.0993589743589744,13.6781603542207,0.220379146919431,2.54764053213189
1,M,SIP-S2-8,21.5C,Iso,2D,12:12,Batch9_2Days,0.407251978038383,0.600057658251308,0.277231572515692,0.739672364672365,1.8310755553561,0.979462875197472,0.55053778765404
1,M,SIP-S2-8,21.5C,Iso,2D,12:12,Batch9_2Days,0.738401313716058,0.778798237304889,0.711159251235905,0.872150997150997,1.07593117997856,1.37124802527646,0.695659037904204
1,M,SIP-S2-8,21.5C,Iso,2D,12:12,Batch9_2Days,0.872095144890275,1.03414192166715,0.762817308226407,0.816951566951567,1.29180114836796,1.02843601895735,0.808411114384091
1,M,SIP-S2-8,21.5C,Iso,2D,12:12,Batch9_2Days,0.282299666594788,0.694534821465344,0.0043048380825418,0.850071225071225,2.13348551398733,0.0489731437598736,1.89698413723489
1,M,SIP-S2-8,21.5C,Iso,2D,12:12,Batch9_2Days,0.643273010765173,0.795395576788436,0.54068766316725,1.14814814814815,0.92437558195982,1.6650868878357,0.483949277977444
1,M,SIP-S2-8,21.5C,Iso,2D,12:12,Batch9_2Days,0.695207922105927,1.32906387710556,0.2677609287341,0.794871794871795,1.15461732574443,1.61611374407583,0.611083822864205
1,M,SIP-S2-8,21.5C,Iso,2D,12:12,Batch9_2Days,0.639673561464329,0.98690334006013,0.405515747375437,1.3468660968661,0.809209374437043,1.34676145339652,0.580342182695577
1,M,SIP-S2-8,21.5C,Iso,2D,12:12,Batch9_2Days,0.143977972033772,0.180017297475392,0.119674498694662,0.452635327635328,2.45046987513566,0.661137440758294,1.21883521860986
1,M,SIP-S2-8,21.5C,Iso,2D,12:12,Batch9_2Days,0.969794483056048,1.15926032700465,0.842026328945176,0.684472934472935,1.44570570949532,1.24881516587678,0.727743275154052
1,M,SIP-S2-8,21.5C,Iso,2D,12:12,Batch9_2Days,0.104898236767462,0.20682838433343,0.0361606398933511,0.386396011396011,3.81306788051367,0.293838862559242,1.49146941224628
1,M,SIP-S2-8,21.5C,Iso,2D,12:12,Batch9_2Days,0.645329838937084,0.787735266257568,0.549297339332334,1.08190883190883,0.9299865924186,0.857030015797788,1.03921739691999
1,M,SIP-S2-8,21.5C,Iso,2D,12:12,Batch9_2Days,0.426791845671538,0.591120629298629,0.315975115258568,1.01566951566952,1.03840312713583,2.1303317535545,0.394691518808326
1,M,SIP-S2-8,21.5C,Iso,2D,12:12,Batch9_2Days,0.977507588700715,1.11840533750669,0.882491806921069,0.960470085470086,1.00674765949201,1.64060031595577,0.549440138385794
1,M,SIP-S2-8,21.5C,Iso,2D,12:12,Batch9_2Days,0.800106158873389,1.02137473744903,0.65089151808032,0.750712250712251,1.2968973412225,2.03238546603476,0.455448435253707
1,M,SIP-S2-8,21.5C,Iso,2D,12:12,Batch9_2Days,1.08446265364009,1.26778139285861,0.960839860023329,0.794871794871795,1.2557822036699,0.489731437598736,1.84199908977881
1,M,SIP-S2-8,21.5C,Iso,2D,12:12,Batch9_2Days,0.645329838937084,1.18096454017545,0.284119313447759,0.816951566951567,1.40568789948352,0.881516587677725,0.843104060993287
1,M,SIP-S2-8,21.5C,Iso,2D,12:12,Batch9_2Days,0.837129065967787,1.01116099007454,0.719768927400989,0.993589743589744,1.09826598051983,1.34676145339652,0.586340551508968
1,M,SIP-S2-8,21.5C,Iso,2D,12:12,Batch9_2Days,0.563570919103621,0.703471850418022,0.469227350997056,0.850071225071225,1.13202162852827,1.44470774091627,0.642579495270676
1,M,SIP-S2-1,21.5C,Iso,2D,12:12,Batch9_2Days,0.782623119412145,0.842634158395453,0.742154085430206,0.993589743589744,1.08288223048818,1.05292259083728,0.766593859300519
1,M,SIP-S2-1,21.5C,Iso,2D,12:12,Batch9_2Days,0.483868827442069,0.836250566286397,0.246236738321391,0.69551282051282,1.6731022549941,0.489731437598736,1.54095595495675
1,M,SIP-S2-1,21.5C,Iso,2D,12:12,Batch9_2Days,0.294640635626254,0.399612866026935,0.223851580292174,0.52991452991453,2.14703641745959,0.954976303317536,0.817726346782786
1,M,SIP-S2-1,21.5C,Iso,2D,12:12,Batch9_2Days,0.790850432099789,1.20905234545529,0.508831861356441,0.816951566951567,1.28203942684376,1.15086887835703,0.735278772896782
1,M,SIP-S2-1,21.5C,Iso,2D,12:12,Batch9_2Days,1.06955064939373,1.38906964293069,0.854079875576293,1.0267094017094,1.01235000208224,1.73854660347551,0.450722501682265
1,M,SIP-S2-1,21.5C,Iso,2D,12:12,Batch9_2Days,0.365601207557185,0.901363205798773,0.0043048380825418,0.596153846153846,3.03104466203147,0.0489731437598736,2.11692432705923
1,M,SIP-S2-1,21.5C,Iso,2D,12:12,Batch9_2Days,0.698293164363793,1.01371442691817,0.485585735710715,0.905270655270655,1.24946067330165,1.05292259083728,0.723756671166128
1,M,SIP-S2-1,21.5C,Iso,2D,12:12,Batch9_2Days,0.140378522732927,0.261727276471315,0.0585457979225685,0.485754985754986,2.93188129308574,0.244865718799368,2.02344974638389
1,M,SIP-S2-1,21.5C,Iso,2D,12:12,Batch9_2Days,0.661270257269395,1.10308471644496,0.363328334166528,1.15918803418803,0.833589038981639,0.661137440758294,1.381753877739
1,M,SIP-S2-1,21.5C,Iso,2D,12:12,Batch9_2Days,0.299268499013054,0.707302005683456,0.0241070932622341,1.00462962962963,1.28464970402789,0.146919431279621,4.25217700327049
1,M,SIP-S2-1,21.5C,Iso,2D,12:12,Batch9_2Days,0.860268382901786,1.54099913512623,0.401210909292896,0.827991452991453,1.09799843704101,0.930489731437599,1.04254543926601
1,M,SIP-S2-1,21.5C,Iso,2D,12:12,Batch9_2Days,0.35068920331083,0.808162761006549,0.0421874132089096,0.684472934472935,2.69819755989758,0.0734597156398104,0.843104060993287
1,M,SIP-S2-1,21.5C,Iso,2D,12:12,Batch9_2Days,0.409308806210294,0.71113216094889,0.205771260345498,0.971509971509971,1.35375480145046,0.293838862559242,2.00237214485906
1,M,SIP-S2-1,21.5C,Iso,2D,12:12,Batch9_2Days,1.10811617761706,1.67122441415098,0.728378603566072,0.507834757834758,1.83209121359818,2.74249605055292,0.331874036431364
1,M,SIP-S2-1,21.5C,Iso,2D,12:12,Batch9_2Days,0.404680942823494,0.914130390016886,0.0611287007720935,0.839031339031339,1.82730435873559,0.195892575039494,1.89354757176889
1,M,SIP-S2-1,21.5C,Iso,2D,12:12,Batch9_2Days,0.77696684193939,0.660063424076439,0.855801810809309,0.772792022792023,1.41549610539592,0.53870458135861,1.52208608639796
1,M,SIP-S2-1,21.5C,Iso,2D,12:12,Batch9_2Days,0.317265745517276,0.737943247806927,0.033577737043826,0.794871794871795,1.65709742188664,0.293838862559242,2.00237214485906
1,M,SIP-S2-1,21.5C,Iso,2D,12:12,Batch9_2Days,0.400053079436694,0.5426053292698,0.303921568627451,0.651353276353276,1.74980237095352,1.34676145339652,0.57134462947549
1,M,SIP-S2-1,21.5C,Iso,2D,12:12,Batch9_2Days,0.806276643389122,1.09797784275771,0.609565072487919,0.64031339031339,1.7830850299044,1.37124802527646,0.55770548134028
1,M,SIP-S2-1,21.5C,Iso,2D,12:12,Batch9_2Days,0.323950437075986,0.520901116099008,0.191134810864856,0.618233618233618,1.8650408132305,0.636650868878357,1.19486737741105
1,M,SIP-S2-1,21.5C,Iso,2D,12:12,Batch9_2Days,0.246305173586345,0.449404884477575,0.109342887296562,0.673433048433048,1.9509840649537,0.367298578199052,1.62022606503927
1,M,SIP-S2-1,21.5C,Iso,2D,12:12,Batch9_2Days,0.2565893144459,0.607717968782176,0.0198022551796923,0.916310541310541,1.62605190224447,0.146919431279621,2.79049115839626
1,M,SIP-S2-1,21.5C,Iso,2D,12:12,Batch9_2Days,0.283842287723721,0.654956550389193,0.033577737043826,0.596153846153846,1.99208415264812,0.293838862559242,2.48349131009979
1,M,SIP-S2-1,21.5C,Iso,2D,12:12,Batch9_2Days,0.157347355151193,0.236192908035089,0.104177081597512,0.4747150997151,2.52268612753456,0.636650868878357,1.13988232995497
1,M,SIP-S2-1,21.5C,Iso,2D,12:12,Batch9_2Days,0.21545275100768,0.149376055351921,0.260012220185525,0.320156695156695,3.5038970087062,0.61216429699842,1.30534502660743
1,M,SIP-S2-1,21.5C,Iso,2D,12:12,Batch9_2Days,0.780052084197256,0.914130390016886,0.689635060823196,0.805911680911681,1.2930046482819,0.783570300157978,1.09110953545667
1,M,SIP-S2-1,21.5C,Iso,2D,12:12,Batch9_2Days,0.672068605171928,1.27288826654586,0.266899961117592,0.574074074074074,2.0802791744293,0.61216429699842,1.17338091271283
1,M,SIP-S2-10,21.5C,Grp,2D,12:12,Batch9_2Days,0.838157480053743,0.868168526831679,0.817919235682942,1.07086894586895,0.952606484478408,1.32227488151659,0.652183757326329
1,M,SIP-S2-10,21.5C,Grp,2D,12:12,Batch9_2Days,0.328578300462786,0.588567192455006,0.153252235738488,0.607193732193732,1.95258095263275,0.587677725118484,1.23716356776189
1,M,SIP-S2-10,21.5C,Grp,2D,12:12,Batch9_2Days,0.787250982798945,0.865615089988057,0.734405376881631,0.861111111111111,1.19314101415978,1.56714060031596,0.528371940398306
1,M,SIP-S2-10,21.5C,Grp,2D,12:12,Batch9_2Days,0.864896246288586,1.08010378485235,0.719768927400989,1.1039886039886,0.910784887742903,1.95892575039495,0.419948299945841
1,M,SIP-S2-10,21.5C,Grp,2D,12:12,Batch9_2Days,0.610363760014597,0.571969852971459,0.636255068599678,0.551994301994302,1.81073426459395,1.78751974723539,0.507293554269487
1,M,SIP-S2-10,21.5C,Grp,2D,12:12,Batch9_2Days,1.01350208170916,1.26905811128043,0.841165361328667,0.728632478632479,1.5085803884784,0.53870458135861,1.47584866012807
1,M,SIP-S2-10,21.5C,Grp,2D,12:12,Batch9_2Days,0.378970590674606,0.869445245253491,0.0482141865244681,0.574074074074074,2.85589800963666,0.171406003159558,1.54743633554979
1,M,SIP-S2-10,21.5C,Grp,2D,12:12,Batch9_2Days,0.55225836415811,0.427700671306783,0.636255068599678,0.551994301994302,1.95279985184268,0.661137440758294,1.26872905796816
1,M,SIP-S2-10,21.5C,Grp,2D,12:12,Batch9_2Days,0.781080498283212,0.868168526831679,0.722351830250514,0.574074074074074,1.92978596759802,0.661137440758294,1.20457983593606
1,M,SIP-S2-10,21.5C,Grp,2D,12:12,Batch9_2Days,0.617048451573308,0.912853671595074,0.417569294006555,0.58511396011396,1.99446091468473,0.244865718799368,3.04067312432144
1,M,SIP-S2-10,21.5C,Grp,2D,12:12,Batch9_2Days,0.569741403619354,0.741773403072361,0.453729933899906,0.772792022792023,1.54277036031609,0.906003159557662,0.769790664385175
1,M,SIP-S2-10,21.5C,Grp,2D,12:12,Batch9_2Days,0.13060858891635,0.293645237016597,0.0206632227962006,0.287037037037037,5.40386376529548,0.0489731437598736,7.38174262097926
1,M,SIP-S2-10,21.5C,Grp,2D,12:12,Batch9_2Days,0.886492942093652,1.23969358757877,0.648308615230795,0.662393162393162,1.67248117191829,1.07740916271722,0.732925689386209
1,M,SIP-S2-10,21.5C,Grp,2D,12:12,Batch9_2Days,0.427820259757493,0.865615089988057,0.132589012942287,0.463675213675214,3.20478867118801,0.244865718799368,1.75677226622188
1,M,SIP-S2-10,21.5C,Grp,2D,12:12,Batch9_2Days,0.238592067941679,0.559202668753346,0.0223851580292174,0.52991452991453,2.85811681973738,0.0734597156398104,5.35187795239217
1,M,SIP-S2-10,21.5C,Grp,2D,12:12,Batch9_2Days,1.16724998755951,1.43247806927227,0.988390823751597,0.982549857549858,0.925279581776136,1.22432859399684,0.756594252995715
1,M,SIP-S2-10,21.5C,Grp,2D,12:12,Batch9_2Days,0.697778957320815,1.0967011243359,0.428761873021163,0.58511396011396,2.02512745494469,0.734597156398104,0.979650262175895
1,M,SIP-S2-10,21.5C,Grp,2D,12:12,Batch9_2Days,0.403652528737539,0.73028293727606,0.183386102316281,0.761752136752137,1.51016661463736,0.514218009478673,1.45579458978965
1,M,SIP-S2-10,21.5C,Grp,2D,12:12,Batch9_2Days,0.913745915371473,1.12606564803756,0.770566016774982,0.883190883190883,1.22727210170908,1.05292259083728,0.753806638961895
1,M,SIP-S2-10,21.5C,Grp,2D,12:12,Batch9_2Days,0.192313434073681,0.464725505539311,0.0086096761650836,0.264957264957265,6.49629009488356,0.0979462875197472,1.92447666096294
1,M,SIP-S2-10,21.5C,Grp,2D,12:12,Batch9_2Days,0.514721250020734,0.640912647749269,0.429622840637671,0.353276353276353,3.14907035294452,0.979462875197472,0.823401085654857
1,M,SIP-S2-10,21.5C,Grp,2D,12:12,Batch9_2Days,0.754341732048369,1.00733083480911,0.583736043992668,1.05982905982906,0.98573050474488,1.61611374407583,0.501530281341856
1,M,SIP-S2-10,21.5C,Grp,2D,12:12,Batch9_2Days,0.736344485544147,0.883489147893415,0.637116036216186,0.69551282051282,1.53837500316419,1.10189573459716,0.756349875007021
1,M,SIP-S2-10,21.5C,Grp,2D,12:12,Batch9_2Days,0.817589198334633,0.843910876817265,0.799838915736266,0.629273504273504,1.71720669689586,1.29778830963665,0.622990962214687
1,M,SIP-S2-10,21.5C,Grp,2D,12:12,Batch9_2Days,0.434504951316204,0.795395576788436,0.191134810864856,0.507834757834758,2.71018635954417,0.146919431279621,3.63817730667755
1,M,SIP-S2-10,21.5C,Grp,2D,12:12,Batch9_2Days,0.688009023504238,0.662616860920061,0.705132477920347,0.684472934472935,1.52046685095344,1.81200631911532,0.46997354751315
1,M,SIP-S2-10,21.5C,Grp,2D,12:12,Batch9_2Days,0.73788710667308,1.19245500597175,0.431344775870688,0.827991452991453,1.35805069844547,0.489731437598736,1.59181712385363
1,M,SIP-S2-10,21.5C,Grp,2D,12:12,Batch9_2Days,0.768739529251746,0.859231497879,0.707715380769872,0.750712250712251,1.35001259069236,1.05292259083728,0.83628421014602
1,M,SIP-S2-10,21.5C,Grp,2D,12:12,Batch9_2Days,0.94202730273525,1.14521642436473,0.805004721435316,0.706552706552707,1.54349595256331,0.489731437598736,1.64680217130971
1,M,SIP-S2-10,21.5C,Grp,2D,12:12,Batch9_2Days,0.666412327699172,1.12734236645937,0.355579625617953,0.916310541310541,1.27647250131591,0.563191153238547,1.30290655928547
1,M,SIP-S2-10,21.5C,Grp,2D,12:12,Batch9_2Days,0.517806492278601,0.548988921378856,0.496778314725324,0.772792022792023,1.49117268940251,1.24881516587678,0.60699179838775
1,M,SIP-S2-10,21.5C,Grp,2D,12:12,Batch9_2Days,0.710119926352282,0.840080721551831,0.622479586735544,0.651353276353276,1.6192048762118,1.29778830963665,0.649964759079935
1,M,SIP-L2-1,21.5C,Iso,2D,12:12,Batch9_2Days,0.988820143646226,1.03158848482352,0.959978892406821,0.706552706552707,1.34691420113995,0.930489731437599,1.01360594060492
1,M,SIP-L2-1,21.5C,Iso,2D,12:12,Batch9_2Days,1.28706022857332,1.49631399036284,1.14594789757263,0.717592592592593,1.31044853948468,0.930489731437599,1.00347711607353
1,M,SIP-L2-1,21.5C,Iso,2D,12:12,Batch9_2Days,0.846384792741387,0.510687368724517,1.07276565016942,0.761752136752137,1.2719947568696,0.930489731437599,1.00637106593964
1,M,SIP-L2-1,21.5C,Iso,2D,12:12,Batch9_2Days,1.3338530694843,1.51674148511182,1.21052046881075,0.574074074074074,1.64732179477624,0.342812006319115,2.78263615161682
